Routeid|ATISID|Route|DOW|Dir|SG|Begindate|Enddate|Start_TripId|End_TripId|status_id
       1|459471|      ATLC|0|I| 1|20190908|20190908|    1|    1|
       1|459472|      ATLC|0|I| 2|20190908|20190908|    2|    2|
       1|459473|      ATLC|0|I| 3|20190908|20190908|    3|    3|
       1|459474|      ATLC|0|I| 4|20190908|20190908|    4|    4|
       1|459475|      ATLC|0|I| 5|20190908|20190908|    5|    5|
       1|459476|      ATLC|0|I| 6|20190908|20190908|    6|    6|
       1|459477|      ATLC|0|I| 7|20190908|20190908|    7|    7|
       1|459478|      ATLC|0|I| 8|20190908|20190908|    8|    8|
       1|459479|      ATLC|0|I| 9|20190908|20190908|    9|    9|
       1|459480|      ATLC|0|I|10|20190908|20190908|   10|   10|
       1|459481|      ATLC|0|I|11|20190908|20190908|   11|   11|
       1|459482|      ATLC|0|I|12|20190908|20190908|   12|   12|
       1|459483|      ATLC|0|I|13|20190908|20190908|   13|   13|
       1|459484|      ATLC|0|I|14|20190908|20190908|   14|   14|
       1|459485|      ATLC|0|I|15|20190908|20190908|   15|   15|
       1|459486|      ATLC|0|I|16|20190908|20190908|   16|   16|
       1|459487|      ATLC|0|I|17|20190908|20190908|   17|   17|
       1|459488|      ATLC|0|I|18|20190908|20190908|   18|   18|
       1|459489|      ATLC|0|I|19|20190908|20190908|   19|   19|
       1|459490|      ATLC|0|I|20|20190908|20190908|   20|   20|
       1|459491|      ATLC|0|I|21|20190908|20190908|   21|   21|
       1|459492|      ATLC|0|I|22|20190908|20190908|   22|   22|
       1|459493|      ATLC|0|I|23|20190908|20190908|   23|   23|
       1|459494|      ATLC|0|I|24|20190908|20190908|   24|   24|
       1|459496|      ATLC|0|O| 1|20190907|20190907|   25|   25|
       1|459497|      ATLC|0|O| 2|20190907|20190907|   26|   26|
       1|459498|      ATLC|0|O| 3|20190908|20190908|   27|   27|
       1|459499|      ATLC|0|O| 4|20190908|20190908|   28|   28|
       1|459500|      ATLC|0|O| 5|20190908|20190908|   29|   29|
       1|459501|      ATLC|0|O| 6|20190908|20190908|   30|   30|
       1|459502|      ATLC|0|O| 7|20190908|20190908|   31|   31|
       1|459503|      ATLC|0|O| 8|20190908|20190908|   32|   32|
       1|459504|      ATLC|0|O| 9|20190908|20190908|   33|   33|
       1|459505|      ATLC|0|O|10|20190908|20190908|   34|   34|
       1|459506|      ATLC|0|O|11|20190908|20190908|   35|   35|
       1|459507|      ATLC|0|O|12|20190908|20190908|   36|   36|
       1|459508|      ATLC|0|O|13|20190908|20190908|   37|   37|
       1|459509|      ATLC|0|O|14|20190908|20190908|   38|   38|
       1|459510|      ATLC|0|O|15|20190908|20190908|   39|   39|
       1|459511|      ATLC|0|O|16|20190908|20190908|   40|   40|
       1|459512|      ATLC|0|O|17|20190908|20190908|   41|   41|
       1|459513|      ATLC|0|O|18|20190908|20190908|   42|   42|
       1|459514|      ATLC|0|O|19|20190908|20190908|   43|   43|
       1|459515|      ATLC|0|O|20|20190908|20190908|   44|   44|
       1|459516|      ATLC|0|O|21|20190908|20190908|   45|   45|
       1|459517|      ATLC|0|O|22|20190908|20190908|   46|   46|
       1|459518|      ATLC|0|O|23|20190908|20190908|   47|   47|
       1|459519|      ATLC|0|O|24|20190908|20190908|   48|   48|
       2|459605|      BNTN|0|I| 1|20190908|20190908|   49|   49|
       2|459606|      BNTN|0|I| 2|20190908|20190908|   50|   50|
       2|459607|      BNTN|0|I| 3|20190908|20190908|   51|   51|
       2|459608|      BNTN|0|I| 4|20190908|20190908|   52|   52|
       2|459609|      BNTN|0|I| 5|20190908|20190908|   53|   53|
       2|459610|      BNTN|0|I| 6|20190908|20190908|   54|   54|
       2|459611|      BNTN|0|I| 7|20190908|20190908|   55|   55|
       2|459612|      BNTN|0|I| 8|20190908|20190908|   56|   56|
       2|478390|      BNTN|0|I| 9|20191112|20191112|   57|   57|
       2|478391|      BNTN|0|I|10|20191112|20191112|   58|   58|
       2|478392|      BNTN|0|I|11|20191112|20191112|   59|   59|
       2|459614|      BNTN|0|O| 1|20190908|20190908|   60|   60|
       2|459615|      BNTN|0|O| 2|20190908|20190908|   61|   61|
       2|459616|      BNTN|0|O| 3|20190908|20190908|   62|   62|
       2|459617|      BNTN|0|O| 4|20190908|20190908|   63|   63|
