"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed_temp"
"1","1","1","30TH ST. PHL.","0","4660","1","1",""
"1","1","2","30TH ST. PHL.","0","4662","2","1",""
"1","1","3","30TH ST. PHL.","0","4664","3","1",""
"1","1","4","30TH ST. PHL.","0","4668","4","1",""
"1","1","5","30TH ST. PHL.","0","4670","5","1",""
"1","1","6","30TH ST. PHL.","0","4674","6","1",""
"1","1","7","30TH ST. PHL.","0","4678","7","1",""
"1","1","8","30TH ST. PHL.","0","4680","8","1",""
"1","1","9","30TH ST. PHL.","0","4682","9","1",""
"1","1","10","30TH ST. PHL.","0","4684","10","1",""
"1","1","11","30TH ST. PHL.","0","4688","11","1",""
"1","1","12","30TH ST. PHL.","0","4692","12","1",""
"1","2","13","30TH ST. PHL.","0","4608","13","1",""
"1","2","14","30TH ST. PHL.","0","4610","14","1",""
"1","2","15","30TH ST. PHL.","0","4612","15","1",""
"1","3","16","30TH ST. PHL.","0","4616","16","1",""
"1","3","17","30TH ST. PHL.","0","4620","17","1",""
"1","3","18","30TH ST. PHL.","0","4624","18","1",""
"1","3","19","30TH ST. PHL.","0","4628","19","1",""
"1","2","20","30TH ST. PHL.","0","4630","20","1",""
"1","2","21","30TH ST. PHL.","0","4632","21","1",""
"1","2","22","30TH ST. PHL.","0","4634","22","1",""
"1","2","23","30TH ST. PHL.","0","4638","23","1",""
"1","2","24","30TH ST. PHL.","0","4642","24","1",""
"1","4","25","30TH ST. PHL.","0","4616","25","1",""
"1","4","26","30TH ST. PHL.","0","4620","26","1",""
"1","4","27","30TH ST. PHL.","0","4624","27","1",""
"1","4","28","30TH ST. PHL.","0","4628","28","1",""
"1","5","29","EGG HARBOR","0","4416","29","1",""
"1","5","30","EGG HARBOR","0","4418","30","1",""
"1","5","31","EGG HARBOR","0","4420","31","1",""
"1","5","32","EGG HARBOR","0","4422","32","1",""
"1","5","33","EGG HARBOR","0","4424","33","1",""
"1","5","34","EGG HARBOR","0","4426","34","1",""
"1","5","35","30TH ST. PHL.","0","4628","35","1",""
"1","2","36","ATLANTIC CITY","1","4651","36","1",""
"1","6","37","ATLANTIC CITY","1","4697","37","1",""
"1","1","38","ATLANTIC CITY","1","4661","38","1",""
"1","1","39","ATLANTIC CITY","1","4669","39","1",""
"1","1","40","ATLANTIC CITY","1","4671","40","1",""
"1","1","41","ATLANTIC CITY","1","4673","41","1",""
"1","1","42","ATLANTIC CITY","1","4677","42","1",""
"1","1","43","ATLANTIC CITY","1","4679","43","1",""
"1","1","44","ATLANTIC CITY","1","4683","44","1",""
"1","1","45","ATLANTIC CITY","1","4685","45","1",""
"1","1","46","ATLANTIC CITY","1","4687","46","1",""
"1","1","47","ATLANTIC CITY","1","4689","47","1",""
"1","1","48","ATLANTIC CITY","1","4693","48","1",""
"1","2","49","ATLANTIC CITY","1","4613","49","1",""
"1","3","50","ATLANTIC CITY","1","4615","50","1",""
"1","3","51","ATLANTIC CITY","1","4617","51","1",""
"1","3","52","ATLANTIC CITY","1","4623","52","1",""
"1","3","53","ATLANTIC CITY","1","4627","53","1",""
"1","2","54","ATLANTIC CITY","1","4631","54","1",""
"1","2","55","ATLANTIC CITY","1","4633","55","1",""
"1","2","56","ATLANTIC CITY","1","4635","56","1",""
"1","2","57","ATLANTIC CITY","1","4639","57","1",""
"1","2","58","ATLANTIC CITY","1","4641","58","1",""
"1","2","59","ATLANTIC CITY","1","4643","59","1",""
"1","4","60","ATLANTIC CITY","1","4615","60","1",""
"1","4","61","ATLANTIC CITY","1","4617","61","1",""
"1","4","62","ATLANTIC CITY","1","4623","62","1",""
"1","4","63","ATLANTIC CITY","1","4627","63","1",""
"1","5","64","ATLANTIC CITY","1","4419","64","1",""
"1","5","65","ATLANTIC CITY","1","4421","65","1",""
"1","5","66","ATLANTIC CITY","1","4423","66","1",""
"1","5","67","ATLANTIC CITY","1","4425","67","1",""
"1","5","68","ATLANTIC CITY","1","4427","68","1",""
"1","5","69","ATLANTIC CITY","1","4615","69","1",""
"2","7","70","HOBOKEN","0","1090","70","1",""
"2","7","71","HOBOKEN","0","1092","71","1",""
"2","7","72","HOBOKEN","0","1094","72","1",""
"2","8","73","HOBOKEN","0","1002","73","1",""
"2","8","74","HOBOKEN","0","1000","74","1",""
"2","8","75","HOBOKEN","0","1070","75","1",""
"2","8","76","HOBOKEN","0","1006","76","1",""
"2","8","77","HOBOKEN","0","1074","77","1",""
"2","9","78","HOBOKEN","0","1090","78","1",""
"2","9","79","HOBOKEN","0","1092","79","1",""
"2","9","80","HOBOKEN","0","1094","80","1",""
"2","7","81","LAKE HOPATCONG","1","1091","81","1",""
"2","7","82","LAKE HOPATCONG","1","1093","82","1",""
"2","7","83","LAKE HOPATCONG","1","1095","83","1",""
"2","8","84","DOVER","1","1009","84","1",""
"2","8","85","MOUNT OLIVE","1","1055","85","1",""
"2","8","86","DENVILLE","1","1003","86","1",""
"2","8","87","LAKE HOPATCONG","1","1011","87","1",""
"2","8","88","DOVER","1","1001","88","1",""
"2","8","89","HACKETTSTOWN","1","1079","89","1",""
"2","8","90","MOUNT OLIVE","1","1061","90","1",""
"2","8","91","HACKETTSTOWN","1","1085","91","1",""
"2","8","92","HACKETTSTOWN","1","1087","92","1",""
"2","9","93","LAKE HOPATCONG","1","1091","93","1",""
"2","9","94","LAKE HOPATCONG","1","1093","94","1",""
"2","9","95","LAKE HOPATCONG","1","1095","95","1",""
"3","7","96","NEW YORK PENN STATION","0","9200","96","1",""
"3","7","97","NEW YORK PENN STATION","0","9202","97","1",""
"3","7","98","NEW YORK PENN STATION","0","9204","98","1",""
"3","7","99","HOBOKEN","0","9530","99","1",""
"3","10","100","NEW YORK PENN STATION","0","6278","100","1",""
"3","10","101","NEW YORK PENN STATION","0","6280","101","1",""
"3","6","102","HOBOKEN","0","0544","102","1",""
"3","11","103","HOBOKEN","0","0530","103","1",""
"3","1","104","HOBOKEN","0","0510","104","1",""
"3","1","105","HOBOKEN","0","0514","105","1",""
"3","1","106","HOBOKEN","0","0518","106","1",""
"3","1","107","HOBOKEN","0","0522","107","1",""
"3","1","108","HOBOKEN","0","0526","108","1",""
"3","1","109","HOBOKEN","0","0534","109","1",""
"3","1","110","HOBOKEN","0","0538","110","1",""
"3","12","111","NEW YORK PENN STATION","0","6280","111","1",""
"3","12","112","NEW YORK PENN STATION","0","6278","112","1",""
"3","8","113","HOBOKEN","0","0262","113","1",""
"3","8","114","NEW YORK PENN STATION","0","6210","114","1",""
"3","8","115","HOBOKEN","0","0250","115","1",""
"3","8","116","NEW YORK PENN STATION","0","6252","116","1",""
"3","8","117","HOBOKEN","0","0204","117","1",""
"3","8","118","HOBOKEN","0","0208","118","1",""
"3","8","119","HOBOKEN","0","0212","119","1",""
"3","8","120","NEW YORK PENN STATION","0","6206","120","1",""
"3","8","121","NEW YORK PENN STATION","0","6214","121","1",""
"3","8","122","NEW YORK PENN STATION","0","6202","122","1",""
"3","8","123","NEW YORK PENN STATION","0","6204","123","1",""
"3","8","124","NEW YORK PENN STATION","0","6216","124","1",""
"3","8","125","NEW YORK PENN STATION","0","6222","125","1",""
"3","8","126","NEW YORK PENN STATION","0","6226","126","1",""
"3","8","127","NEW YORK PENN STATION","0","6234","127","1",""
"3","8","128","NEW YORK PENN STATION","0","6238","128","1",""
"3","8","129","NEW YORK PENN STATION","0","6242","129","1",""
"3","8","130","NEW YORK PENN STATION","0","6248","130","1",""
"3","8","131","NEW YORK PENN STATION","0","6258","131","1",""
"3","8","132","NEW YORK PENN STATION","0","6264","132","1",""
"3","8","133","NEW YORK PENN STATION","0","6274","133","1",""
"3","8","134","NEW YORK PENN STATION","0","6270","134","1",""
"3","8","135","NEW YORK PENN STATION","0","6230","135","1",""
"3","8","136","NEW YORK PENN STATION","0","6200","136","1",""
"3","9","137","HOBOKEN","0","9540","137","1",""
"3","9","138","HOBOKEN","0","9544","138","1",""
"3","9","139","NEW YORK PENN STATION","0","9200","139","1",""
"3","9","140","NEW YORK PENN STATION","0","9202","140","1",""
"3","9","141","NEW YORK PENN STATION","0","9208","141","1",""
"3","9","142","NEW YORK PENN STATION","0","9212","142","1",""
"3","9","143","NEW YORK PENN STATION","0","9216","143","1",""
"3","9","144","NEW YORK PENN STATION","0","9228","144","1",""
"3","9","145","NEW YORK PENN STATION","0","9230","145","1",""
"3","9","146","NEW YORK PENN STATION","0","9232","146","1",""
"3","9","147","NEW YORK PENN STATION","0","9236","147","1",""
"3","9","148","NEW YORK PENN STATION","0","9204","148","1",""
"3","13","149","HOBOKEN","0","0544","149","1",""
"3","9","150","HOBOKEN","0","9530","150","1",""
"3","13","151","HOBOKEN","0","0530","151","1",""
"3","13","152","HOBOKEN","0","0538","152","1",""
"3","14","153","HOBOKEN","0","0510","153","1",""
"3","14","154","HOBOKEN","0","0514","154","1",""
"3","14","155","HOBOKEN","0","0518","155","1",""
"3","14","156","HOBOKEN","0","0522","156","1",""
"3","14","157","HOBOKEN","0","0526","157","1",""
"3","14","158","HOBOKEN","0","0534","158","1",""
"3","12","159","MSU","1","6201","159","1",""
"3","7","160","MSU","1","9225","160","1",""
"3","7","161","MSU","1","9227","161","1",""
"3","7","162","MSU","1","9229","162","1",""
"3","10","163","MSU","1","9201","163","1",""
"3","10","164","MSU","1","9203","164","1",""
"3","6","165","BAY STREET","1","0509","165","1",""
"3","1","166","BAY STREET","1","0513","166","1",""
"3","1","167","BAY STREET","1","0515","167","1",""
"3","1","168","BAY STREET","1","0519","168","1",""
"3","1","169","BAY STREET","1","0527","169","1",""
"3","1","170","BAY STREET","1","0531","170","1",""
"3","1","171","BAY STREET","1","0535","171","1",""
"3","1","172","BAY STREET","1","0539","172","1",""
"3","1","173","BAY STREET","1","0545","173","1",""
"3","1","174","BAY STREET","1","0523","174","1",""
"3","12","175","MSU","1","6299","175","1",""
"3","8","176","MSU","1","0211","176","1",""
"3","8","177","MSU","1","6263","177","1",""
"3","8","178","MSU","1","6279","178","1",""
"3","8","179","MSU","1","6213","179","1",""
"3","8","180","MSU","1","0267","180","1",""
"3","8","181","MSU","1","0275","181","1",""
"3","8","182","MSU","1","6273","182","1",""
"3","8","183","MSU","1","6215","183","1",""
"3","8","184","MSU","1","6227","184","1",""
"3","8","185","MSU","1","6297","185","1",""
"3","8","186","MSU","1","6219","186","1",""
"3","8","187","MSU","1","6233","187","1",""
"3","8","188","MSU","1","6237","188","1",""
"3","8","189","MSU","1","6241","189","1",""
"3","8","190","MSU","1","6245","190","1",""
"3","8","191","MSU","1","6251","191","1",""
"3","8","192","MSU","1","6253","192","1",""
"3","8","193","MSU","1","6283","193","1",""
"3","8","194","MSU","1","6291","194","1",""
"3","8","195","MSU","1","6293","195","1",""
"3","8","196","MSU","1","6295","196","1",""
"3","8","197","MSU","1","6231","197","1",""
"3","8","198","MSU","1","6209","198","1",""
"3","9","199","MSU","1","9509","199","1",""
"3","9","200","MSU","1","9539","200","1",""
"3","9","201","MSU","1","9545","201","1",""
"3","9","202","MSU","1","9215","202","1",""
"3","9","203","MSU","1","9217","203","1",""
"3","9","204","MSU","1","9221","204","1",""
"3","9","205","MSU","1","9225","205","1",""
"3","9","206","MSU","1","9227","206","1",""
"3","9","207","MSU","1","9231","207","1",""
"3","9","208","MSU","1","9233","208","1",""
"3","9","209","MSU","1","9235","209","1",""
"3","9","210","MSU","1","9237","210","1",""
"3","9","211","MSU","1","9241","211","1",""
"3","13","212","BAY STREET","1","0509","212","1",""
"3","13","213","BAY STREET","1","0539","213","1",""
"3","13","214","BAY STREET","1","0545","214","1",""
"3","14","215","BAY STREET","1","0513","215","1",""
"3","14","216","BAY STREET","1","0515","216","1",""
"3","14","217","BAY STREET","1","0519","217","1",""
"3","14","218","BAY STREET","1","0523","218","1",""
"3","14","219","BAY STREET","1","0527","219","1",""
"3","14","220","BAY STREET","1","0531","220","1",""
"3","14","221","BAY STREET","1","0535","221","1",""
"4","15","222","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","223","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","224","HOBOKEN TERMINAL","0","342JC004","222","1",""
"4","15","225","HOBOKEN TERMINAL","0","342JC008","222","1",""
"4","15","226","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","227","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","228","HOBOKEN TERMINAL","0","342JC004","222","1",""
"4","15","229","HOBOKEN TERMINAL","0","342JC008","222","1",""
"4","15","230","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","231","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","232","HOBOKEN TERMINAL","0","342JC004","222","1",""
"4","15","233","HOBOKEN TERMINAL","0","342JC008","222","1",""
"4","15","234","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","235","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","236","HOBOKEN TERMINAL","0","342JC004","222","1",""
"4","15","237","HOBOKEN TERMINAL","0","342JC008","222","1",""
"4","15","238","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","239","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","240","HOBOKEN TERMINAL","0","342JC004","222","1",""
"4","15","241","HOBOKEN TERMINAL","0","342JC008","222","1",""
"4","15","242","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","243","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","244","HOBOKEN TERMINAL","0","342JC004","222","1",""
"4","15","245","HOBOKEN TERMINAL","0","342JC008","222","1",""
"4","15","246","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","247","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","248","HOBOKEN TERMINAL","0","342JC004","222","1",""
"4","15","249","HOBOKEN TERMINAL","0","342JC008","222","1",""
"4","15","250","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","251","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","252","HOBOKEN TERMINAL","0","342JC004","222","1",""
"4","15","253","HOBOKEN TERMINAL","0","342JC008","222","1",""
"4","15","254","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","255","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","256","HOBOKEN TERMINAL","0","342JC004","222","1",""
"4","15","257","HOBOKEN TERMINAL","0","342JC008","222","1",""
"4","15","258","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","259","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","260","HOBOKEN TERMINAL","0","342JC004","222","1",""
"4","15","261","HOBOKEN TERMINAL","0","342JC008","222","1",""
"4","15","262","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","263","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","264","HOBOKEN TERMINAL","0","342JC004","222","1",""
"4","15","265","HOBOKEN TERMINAL","0","342JC008","222","1",""
"4","15","266","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","267","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","268","HOBOKEN TERMINAL","0","342JC004","222","1",""
"4","15","269","HOBOKEN TERMINAL","0","342JC008","222","1",""
"4","15","270","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","271","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","272","HOBOKEN TERMINAL","0","342JC004","222","1",""
"4","15","273","HOBOKEN TERMINAL","0","342JC008","222","1",""
"4","15","274","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","275","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","276","HOBOKEN TERMINAL","0","342JC004","222","1",""
"4","15","277","HOBOKEN TERMINAL","0","342JC006","222","1",""
"4","15","278","HOBOKEN TERMINAL","0","342JC002","222","1",""
"4","15","279","TONNELLE AVENUE","0","342JC005","223","1",""
"4","15","280","TONNELLE AVENUE","0","342JC009","223","1",""
"4","15","281","TONNELLE AVENUE","0","342JC001","223","1",""
"4","15","282","TONNELLE AVENUE","0","342JC007","223","1",""
"4","15","283","TONNELLE AVENUE","0","342JC003","223","1",""
"4","15","284","TONNELLE AVENUE","0","342JC005","223","1",""
"4","15","285","TONNELLE AVENUE","0","342JC009","223","1",""
"4","15","286","TONNELLE AVENUE","0","342JC001","223","1",""
"4","15","287","TONNELLE AVENUE","0","342JC007","223","1",""
"4","15","288","TONNELLE AVENUE","0","342JC003","223","1",""
"4","15","289","TONNELLE AVENUE","0","342JC005","223","1",""
"4","15","290","TONNELLE AVENUE","0","342JC009","223","1",""
"4","15","291","TONNELLE AVENUE","0","342JC001","223","1",""
"4","15","292","TONNELLE AVENUE","0","342JC007","223","1",""
"4","15","293","TONNELLE AVENUE","0","342JC003","223","1",""
"4","15","294","TONNELLE AVENUE","0","342JC005","223","1",""
"4","15","295","TONNELLE AVENUE","0","342JC009","223","1",""
"4","15","296","TONNELLE AVENUE","0","342JC001","223","1",""
"4","15","297","TONNELLE AVENUE","0","342JC007","223","1",""
"4","15","298","TONNELLE AVENUE","0","342JC003","223","1",""
"4","15","299","TONNELLE AVENUE","0","342JC005","223","1",""
"4","15","300","TONNELLE AVENUE","0","342JC009","223","1",""
"4","15","301","TONNELLE AVENUE","0","342JC001","223","1",""
"4","15","302","TONNELLE AVENUE","0","342JC007","223","1",""
"4","15","303","TONNELLE AVENUE","0","342JC003","223","1",""
"4","15","304","TONNELLE AVENUE","0","342JC005","223","1",""
"4","15","305","TONNELLE AVENUE","0","342JC009","223","1",""
"4","15","306","TONNELLE AVENUE","0","342JC001","223","1",""
"4","15","307","TONNELLE AVENUE","0","342JC007","223","1",""
"4","15","308","TONNELLE AVENUE","0","342JC003","223","1",""
"4","15","309","TONNELLE AVENUE","0","342JC005","223","1",""
"4","15","310","TONNELLE AVENUE","0","342JC009","223","1",""
"4","15","311","TONNELLE AVENUE","0","342JC001","223","1",""
"4","15","312","TONNELLE AVENUE","0","342JC007","223","1",""
"4","15","313","TONNELLE AVENUE","0","342JC003","223","1",""
"4","15","314","TONNELLE AVENUE","0","342JC005","223","1",""
"4","15","315","TONNELLE AVENUE","0","342JC009","223","1",""
"4","15","316","TONNELLE AVENUE","0","342JC001","223","1",""
"4","15","317","TONNELLE AVENUE","0","342JC007","223","1",""
"4","15","318","TONNELLE AVENUE","0","342JC003","223","1",""
"4","15","319","TONNELLE AVENUE","0","342JC005","223","1",""
"4","15","320","TONNELLE AVENUE","0","342JC009","223","1",""
"4","15","321","TONNELLE AVENUE","0","342JC001","223","1",""
"4","15","322","TONNELLE AVENUE","0","342JC007","223","1",""
"4","15","323","TONNELLE AVENUE","0","342JC003","223","1",""
"4","15","324","TONNELLE AVENUE","0","342JC005","223","1",""
"4","15","325","TONNELLE AVENUE","0","342JC009","223","1",""
"4","15","326","TONNELLE AVENUE","0","342JC001","223","1",""
"4","15","327","TONNELLE AVENUE","0","342JC007","223","1",""
"4","15","328","TONNELLE AVENUE","0","342JC003","223","1",""
"4","15","329","TONNELLE AVENUE","0","342JC005","223","1",""
"4","15","330","TONNELLE AVENUE","0","342JC009","223","1",""
"4","15","331","TONNELLE AVENUE","0","342JC001","223","1",""
"4","15","332","TONNELLE AVENUE","0","342JC007","223","1",""
"4","15","333","TONNELLE AVENUE","0","342JC003","223","1",""
"4","15","334","TONNELLE AVENUE","0","342JC005","223","1",""
"4","15","335","TONNELLE AVENUE","0","342JC001","223","1",""
"4","15","336","HOBOKEN TERMINAL","0","342JC002","224","1",""
"4","15","337","HOBOKEN TERMINAL","0","342JC004","224","1",""
"4","15","338","HOBOKEN TERMINAL","0","342JC008","224","1",""
"4","15","339","TONNELLE AVENUE ","0","342JC003","225","1",""
"4","15","340","8TH STREET ","1","342JC002","226","1",""
"4","15","341","8TH STREET ","1","342JC004","226","1",""
"4","15","342","8TH STREET ","1","342JC008","226","1",""
"4","15","343","8TH STREET ","1","342JC006","226","1",""
"4","15","344","8TH STREET ","1","342JC002","226","1",""
"4","15","345","8TH STREET ","1","342JC004","226","1",""
"4","15","346","8TH STREET ","1","342JC008","226","1",""
"4","15","347","8TH STREET ","1","342JC006","226","1",""
"4","15","348","8TH STREET ","1","342JC002","226","1",""
"4","15","349","8TH STREET ","1","342JC004","226","1",""
"4","15","350","8TH STREET ","1","342JC008","226","1",""
"4","15","351","8TH STREET ","1","342JC006","226","1",""
"4","15","352","8TH STREET ","1","342JC002","226","1",""
"4","15","353","8TH STREET ","1","342JC004","226","1",""
"4","15","354","8TH STREET ","1","342JC008","226","1",""
"4","15","355","8TH STREET ","1","342JC006","226","1",""
"4","15","356","8TH STREET ","1","342JC002","226","1",""
