trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1,08:20:00,08:20:00,10,1,0,0,0.0000
1,08:31:00,08:31:00,2,2,0,0,5.8924
1,08:41:00,08:41:00,39,3,0,0,16.4295
1,08:55:00,08:55:00,55,4,0,0,27.2915
1,09:08:00,09:08:00,9,5,0,0,40.2494
1,09:16:00,09:16:00,71,6,0,0,46.3121
1,09:28:00,09:28:00,28,7,0,0,53.5360
1,09:35:00,09:35:00,43298,8,0,0,57.3989
1,10:00:00,10:00:00,1,9,0,0,67.6532
2,10:12:00,10:12:00,10,1,0,0,0.0000
2,10:23:00,10:23:00,2,2,0,0,5.8924
2,10:36:00,10:36:00,39,3,0,0,16.4295
2,10:47:00,10:47:00,55,4,0,0,27.2915
2,11:00:00,11:00:00,9,5,0,0,40.2494
2,11:07:00,11:07:00,71,6,0,0,46.3121
2,11:20:00,11:20:00,28,7,0,0,53.5360
2,11:27:00,11:27:00,43298,8,0,0,57.3989
2,11:52:00,11:52:00,1,9,0,0,67.6532
3,12:04:00,12:04:00,10,1,0,0,0.0000
3,12:15:00,12:15:00,2,2,0,0,5.8924
3,12:28:00,12:28:00,39,3,0,0,16.4295
3,12:39:00,12:39:00,55,4,0,0,27.2915
3,12:52:00,12:52:00,9,5,0,0,40.2494
3,12:59:00,12:59:00,71,6,0,0,46.3121
3,13:11:00,13:11:00,28,7,0,0,53.5360
3,13:18:00,13:18:00,43298,8,0,0,57.3989
3,13:43:00,13:43:00,1,9,0,0,67.6532
4,13:55:00,13:55:00,10,1,0,0,0.0000
4,14:06:00,14:06:00,2,2,0,0,5.8924
4,14:19:00,14:19:00,39,3,0,0,16.4295
4,14:30:00,14:30:00,55,4,0,0,27.2915
4,14:43:00,14:43:00,9,5,0,0,40.2494
4,14:51:00,14:51:00,71,6,0,0,46.3121
4,15:03:00,15:03:00,28,7,0,0,53.5360
4,15:10:00,15:10:00,43298,8,0,0,57.3989
4,15:34:00,15:34:00,1,9,0,0,67.6532
5,04:28:00,04:28:00,10,1,0,0,0.0000
5,04:39:00,04:39:00,2,2,0,0,5.8924
5,04:49:00,04:49:00,39,3,0,0,16.4295
5,05:00:00,05:00:00,55,4,0,0,27.2915
5,05:13:00,05:13:00,9,5,0,0,40.2494
5,05:20:00,05:20:00,71,6,0,0,46.3121
5,05:33:00,05:33:00,28,7,0,0,53.5360
5,05:40:00,05:40:00,43298,8,0,0,57.3989
5,06:04:00,06:04:00,1,9,0,0,67.6532
6,05:55:00,05:55:00,10,1,0,0,0.0000
