service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,1,20150702,20150904
2,1,1,1,1,1,0,0,20150702,20150904
3,0,0,0,0,1,0,0,20150905,20151021
4,0,0,0,1,0,0,0,20150905,20151021
5,1,1,1,0,0,0,0,20150905,20151021
6,0,0,0,0,0,1,1,20150905,20151021
7,0,1,1,1,0,0,0,20150929,20151001
8,1,1,1,1,1,0,0,20151022,20151202
9,0,0,0,0,0,1,1,20151022,20151202
10,1,1,1,0,0,0,0,20151203,20160101
11,0,0,0,1,0,0,0,20151203,20160101
12,0,0,0,0,1,0,0,20151203,20160101
13,0,0,0,0,0,1,1,20151203,20160101
14,0,0,0,1,0,0,0,20151224,20151224
15,0,0,0,0,1,0,0,20151225,20151225
16,0,0,0,1,0,0,0,20151231,20151231
17,0,0,0,0,1,0,0,20160101,20160101
18,1,1,1,1,1,0,0,20160102,20160408
19,0,0,0,0,0,1,0,20160102,20160408
20,0,0,0,0,0,0,1,20160102,20160408
21,1,1,1,1,1,0,0,20160409,20170409
22,0,0,0,0,0,1,0,20160409,20170409
23,0,0,0,0,0,0,1,20160409,20170409
