"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id","bikes_allowed"
12,1,4151,"LINDENWOLD LOCAL",1,1,1
12,1,4152,"LINDENWOLD SPECIAL",1,1,1
12,1,4153,"LINDENWOLD SPECIAL",1,1,1
12,1,4154,"LINDENWOLD SPECIAL",1,1,1
12,1,4155,"LINDENWOLD SPECIAL",1,1,1
12,1,4156,"LINDENWOLD SPECIAL",1,1,1
12,1,4157,"LINDENWOLD LOCAL",1,1,1
12,1,4158,"LINDENWOLD LOCAL",1,1,1
12,1,4159,"LINDENWOLD LOCAL",1,1,1
12,1,4160,"LINDENWOLD LOCAL",1,1,1
12,1,4161,"LINDENWOLD LOCAL",1,1,1
12,1,4162,"LINDENWOLD LOCAL",1,1,1
12,1,4163,"LINDENWOLD LOCAL",1,1,1
12,1,4164,"LINDENWOLD LOCAL",1,1,1
12,1,4165,"LINDENWOLD LOCAL",1,1,1
12,1,4166,"LINDENWOLD LOCAL",1,1,1
12,1,4167,"LINDENWOLD LOCAL",1,1,1
12,1,4168,"LINDENWOLD LOCAL",1,1,1
12,1,4169,"LINDENWOLD LOCAL",1,1,1
12,1,4170,"LINDENWOLD LOCAL",1,1,1
12,1,4171,"LINDENWOLD LOCAL",1,1,1
12,1,4172,"LINDENWOLD LOCAL",1,1,1
12,1,4173,"LINDENWOLD LOCAL",1,1,1
12,1,4174,"LINDENWOLD LOCAL",1,1,1
12,1,4175,"LINDENWOLD LOCAL",1,1,1
12,1,4176,"LINDENWOLD LOCAL",1,1,1
12,1,4177,"LINDENWOLD LOCAL",1,1,1
12,1,4178,"LINDENWOLD LOCAL",1,1,1
12,1,4179,"LINDENWOLD LOCAL",1,1,1
12,1,4180,"LINDENWOLD LOCAL",1,1,1
12,1,4181,"LINDENWOLD LOCAL",1,1,1
12,1,4182,"LINDENWOLD LOCAL",1,1,1
12,1,4183,"LINDENWOLD LOCAL",1,1,1
12,1,4184,"LINDENWOLD LOCAL",1,1,1
12,1,4185,"LINDENWOLD LOCAL",1,1,1
12,1,4186,"LINDENWOLD LOCAL",1,1,1
12,1,4187,"LINDENWOLD LOCAL",1,1,1
12,1,4188,"LINDENWOLD LOCAL",1,1,1
12,1,4189,"LINDENWOLD LOCAL",1,1,1
12,1,4190,"LINDENWOLD LOCAL",1,1,1
12,1,4191,"LINDENWOLD LOCAL",1,1,1
12,1,4192,"LINDENWOLD LOCAL",1,1,1
12,1,4193,"LINDENWOLD LOCAL",1,1,1
12,1,4194,"LINDENWOLD LOCAL",1,1,1
12,1,4195,"LINDENWOLD LOCAL",1,1,1
12,1,4196,"LINDENWOLD LOCAL",1,1,1
12,1,4197,"LINDENWOLD LOCAL",1,1,1
12,1,4198,"LINDENWOLD LOCAL",1,1,1
12,1,4199,"LINDENWOLD LOCAL",1,1,1
12,1,4200,"LINDENWOLD LOCAL",1,1,1
12,1,4201,"LINDENWOLD LOCAL",1,1,1
12,1,4202,"LINDENWOLD LOCAL",1,1,1
12,1,4203,"LINDENWOLD LOCAL",1,1,1
12,1,4204,"LINDENWOLD LOCAL",1,1,1
12,1,4205,"LINDENWOLD LOCAL",1,1,1
12,1,4206,"LINDENWOLD LOCAL",1,1,1
12,1,4207,"LINDENWOLD LOCAL",1,1,1
12,1,4208,"LINDENWOLD LOCAL",1,1,1
