service_id,date,exception_type
1,20240101,2
2,20240101,2
3,20240101,2
4,20240101,2
5,20240101,2
6,20240101,2
1,20230704,2
2,20230704,2
3,20230704,2
4,20230704,2
5,20230704,2
6,20230704,2
1,20240704,2
2,20240704,2
3,20240704,2
4,20240704,2
5,20240704,2
6,20240704,2
1,20230904,2
2,20230904,2
3,20230904,2
4,20230904,2
5,20230904,2
6,20230904,2
1,20231123,2
2,20231123,2
3,20231123,2
4,20231123,2
5,20231123,2
6,20231123,2
1,20231124,2
2,20231124,2
3,20231124,2
4,20231124,2
5,20231124,2
6,20231124,2
1,20231224,2
2,20231224,2
3,20231224,2
4,20231224,2
5,20231224,2
6,20231224,2
1,20231225,2
2,20231225,2
3,20231225,2
4,20231225,2
5,20231225,2
6,20231225,2
1,20231231,2
2,20231231,2
3,20231231,2
4,20231231,2
5,20231231,2
6,20231231,2
