fare_id,origin_id,destination_id
law_phl,law,phl
law_phl,phl,law
hwc_phl,hwc,phl
hwc_phl,phl,hwc
fav_phl,fac,phl
fav_phl,phl,fac
nj_nj,law,law
nj_nj,law,hwc
nj_nj,law,fav
nj_nj,law,brd
nj_nj,law,chc
nj_nj,hwc,hwc
nj_nj,hwc,law
nj_nj,hwc,fav
nj_nj,hwc,brd
nj_nj,hwc,chc
nj_nj,fav,law
nj_nj,fav,hwc
nj_nj,fav,brd
nj_nj,fav,chc
nj_nj,brd,law
nj_nj,brd,hwc
nj_nj,brd,fav
nj_nj,chc,law
nj_nj,chc,hwc
nj_nj,chc,fav
brd_chc,brd,chc
brd_chc,chc,brd
brdchc_phl,brd,phl
brdchc_phl,chc,phl
brdchc_phl,phl,brd
brdchc_phl,phl,chc
phl_phl,phl,phl
