leg_group_id,from_area_id,to_area_id,from_timeframe_group_id,fare_product_id
phl_phl,phl,phl,,phl_phl
phl_brdchc,phl,brdchc,,brdchc_phl
brdchc_phl,brdchc,phl,,brdchc_phl
brd_chc,brdchc,brdchc,,brd_chc
phl_fav,phl,fav,,fav_phl
fav_phl,fav,phl,,fav_phl
phl_hwc,phl,hwc,,hwc_phl
hwc_phl,hwc,phl,,hwc_phl
phl_law,phl,law,,law_phl
law_phl,law,phl,,law_phl
law_hwc,law,hwc,,nj_nj
hwc_law,hwc,law,,nj_nj
law_fav,law,fav,,nj_nj
fav_law,fav,law,,nj_nj
hwc_fav,hwc,fav,,nj_nj
fav_hwc,fav,hwc,,nj_nj
brdchc_fav,brdchc,fav,,nj_nj
fav_brdchc,fav,brdchc,,nj_nj
brdchc_hwc,brdchc,hwc,,nj_nj
hwc_brdchc,hwc,brdchc,,nj_nj
brdchc_law,brdchc,law,,nj_nj
law_brdchc,law,brdchc,,nj_nj
law_law,law,law,,nj_nj
hwc_hwc,hwc,hwc,,nj_nj
phl_phl_op,phl,phl,offpeak,phl_phl_offpeak
phl_brdchc_op,phl,brdchc,offpeak,brdchc_phl_offpeak
brdchc_phl_op,brdchc,phl,offpeak,brdchc_phl_offpeak
brd_chc_op,brdchc,brdchc,offpeak,brd_chc_offpeak
phl_fav_op,phl,fav,offpeak,fav_phl_offpeak
fav_phl_op,fav,phl,offpeak,fav_phl_offpeak
phl_hwc_op,phl,hwc,offpeak,hwc_phl_offpeak
hwc_phl_op,hwc,phl,offpeak,hwc_phl_offpeak
phl_law_op,phl,law,offpeak,law_phl_offpeak
law_phl_op,law,phl,offpeak,law_phl_offpeak
law_hwc_op,law,hwc,offpeak,nj_nj_offpeak
hwc_law_op,hwc,law,offpeak,nj_nj_offpeak
law_fav_op,law,fav,offpeak,nj_nj_offpeak
fav_law_op,fav,law,offpeak,nj_nj_offpeak
hwc_fav_op,hwc,fav,offpeak,nj_nj_offpeak
fav_hwc_op,fav,hwc,offpeak,nj_nj_offpeak
brdchc_fav_op,brdchc,fav,offpeak,nj_nj_offpeak
fav_brdchc_op,fav,brdchc,offpeak,nj_nj_offpeak
brdchc_hwc_op,brdchc,hwc,offpeak,nj_nj_offpeak
hwc_brdchc_op,hwc,brdchc,offpeak,nj_nj_offpeak
brdchc_law_op,brdchc,law,offpeak,nj_nj_offpeak
law_brdchc_op,law,brdchc,offpeak,nj_nj_offpeak
law_law_op,law,law,offpeak,nj_nj_offpeak
hwc_hwc_op,hwc,hwc,offpeak,nj_nj_offpeak
