trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1,04:30:00,04:30:10,1140,1,0,0
1,04:31:00,04:31:10,1130,2,0,0
1,04:32:00,04:32:10,1120,3,0,0
1,04:34:00,04:34:10,1110,4,0,0
1,04:36:00,04:36:10,1100,5,0,0
1,04:39:00,04:39:10,1090,6,0,0
1,04:40:00,04:40:10,1080,7,0,0
1,04:43:00,04:43:10,1070,8,0,0
1,04:45:00,04:45:10,1060,9,0,0
1,04:47:00,04:47:10,1050,10,0,0
1,04:49:00,04:49:10,1040,11,0,0
1,04:52:00,04:52:10,1030,12,0,0
1,04:54:00,04:54:10,1020,13,0,0
1,04:58:00,04:58:10,1010,14,0,0
2,05:05:00,05:05:10,1140,1,0,0
2,05:06:00,05:06:10,1130,2,0,0
2,05:07:00,05:07:10,1120,3,0,0
2,05:09:00,05:09:10,1110,4,0,0
2,05:11:00,05:11:10,1100,5,0,0
2,05:14:00,05:14:10,1090,6,0,0
2,05:15:00,05:15:10,1080,7,0,0
2,05:18:00,05:18:10,1070,8,0,0
2,05:20:00,05:20:10,1060,9,0,0
2,05:22:00,05:22:10,1050,10,0,0
2,05:24:00,05:24:10,1040,11,0,0
2,05:27:00,05:27:10,1030,12,0,0
2,05:29:00,05:29:10,1020,13,0,0
2,05:33:00,05:33:10,1010,14,0,0
3,05:35:00,05:35:10,1140,1,0,0
3,05:36:00,05:36:10,1130,2,0,0
3,05:37:00,05:37:10,1120,3,0,0
3,05:39:00,05:39:10,1110,4,0,0
3,05:41:00,05:41:10,1100,5,0,0
3,05:44:00,05:44:10,1090,6,0,0
3,05:45:00,05:45:10,1080,7,0,0
3,05:48:00,05:48:10,1070,8,0,0
3,05:50:00,05:50:10,1060,9,0,0
3,05:52:00,05:52:10,1050,10,0,0
3,05:54:00,05:54:10,1040,11,0,0
3,05:57:00,05:57:10,1030,12,0,0
3,05:59:00,05:59:10,1020,13,0,0
3,06:03:00,06:03:10,1010,14,0,0
4,05:50:00,05:50:10,1140,1,0,0
4,05:51:00,05:51:10,1130,2,0,0
4,05:52:00,05:52:10,1120,3,0,0
4,05:54:00,05:54:10,1110,4,0,0
4,05:56:00,05:56:10,1100,5,0,0
4,05:59:00,05:59:10,1090,6,0,0
4,06:00:00,06:00:10,1080,7,0,0
4,06:03:00,06:03:10,1070,8,0,0
4,06:05:00,06:05:10,1060,9,0,0
4,06:07:00,06:07:10,1050,10,0,0
4,06:09:00,06:09:10,1040,11,0,0
4,06:12:00,06:12:10,1030,12,0,0
4,06:14:00,06:14:10,1020,13,0,0
4,06:18:00,06:18:10,1010,14,0,0
5,06:03:00,06:03:10,1140,1,0,0
5,06:04:00,06:04:10,1130,2,0,0
5,06:05:00,06:05:10,1120,3,0,0
5,06:07:00,06:07:10,1110,4,0,0
5,06:09:00,06:09:10,1100,5,0,0
5,06:12:00,06:12:10,1090,6,0,0
5,06:13:00,06:13:10,1080,7,0,0
5,06:16:00,06:16:10,1070,8,0,0
5,06:18:00,06:18:10,1060,9,0,0
5,06:20:00,06:20:10,1050,10,0,0
5,06:22:00,06:22:10,1040,11,0,0
5,06:25:00,06:25:10,1030,12,0,0
5,06:27:00,06:27:10,1020,13,0,0
5,06:31:00,06:31:10,1010,14,0,0
6,06:18:00,06:18:10,1140,1,0,0
6,06:19:00,06:19:10,1130,2,0,0
6,06:20:00,06:20:10,1120,3,0,0
6,06:22:00,06:22:10,1110,4,0,0
6,06:24:00,06:24:10,1100,5,0,0
6,06:27:00,06:27:10,1090,6,0,0
6,06:28:00,06:28:10,1080,7,0,0
6,06:31:00,06:31:10,1070,8,0,0
6,06:33:00,06:33:10,1060,9,0,0
6,06:35:00,06:35:10,1050,10,0,0
6,06:37:00,06:37:10,1040,11,0,0
6,06:40:00,06:40:10,1030,12,0,0
6,06:42:00,06:42:10,1020,13,0,0
6,06:46:00,06:46:10,1010,14,0,0
7,06:33:00,06:33:10,1140,1,0,0
7,06:34:00,06:34:10,1130,2,0,0
7,06:35:00,06:35:10,1120,3,0,0
7,06:37:00,06:37:10,1110,4,0,0
7,06:39:00,06:39:10,1100,5,0,0
7,06:42:00,06:42:10,1090,6,0,0
7,06:43:00,06:43:10,1080,7,0,0
7,06:46:00,06:46:10,1070,8,0,0
7,06:48:00,06:48:10,1060,9,0,0
7,06:50:00,06:50:10,1050,10,0,0
7,06:52:00,06:52:10,1040,11,0,0
7,06:55:00,06:55:10,1030,12,0,0
7,06:57:00,06:57:10,1020,13,0,0
7,07:01:00,07:01:10,1010,14,0,0
8,06:43:00,06:43:10,1140,1,0,0
8,06:44:00,06:44:10,1130,2,0,0
8,06:45:00,06:45:10,1120,3,0,0
8,06:47:00,06:47:10,1110,4,0,0
8,06:49:00,06:49:10,1100,5,0,0
8,06:52:00,06:52:10,1090,6,0,0
8,06:53:00,06:53:10,1080,7,0,0
8,06:56:00,06:56:10,1070,8,0,0
8,06:58:00,06:58:10,1060,9,0,0
8,07:00:00,07:00:10,1050,10,0,0
8,07:02:00,07:02:10,1040,11,0,0
8,07:05:00,07:05:10,1030,12,0,0
8,07:07:00,07:07:10,1020,13,0,0
8,07:11:00,07:11:10,1010,14,0,0
9,06:53:00,06:53:10,1140,1,0,0
9,06:54:00,06:54:10,1130,2,0,0
9,06:55:00,06:55:10,1120,3,0,0
9,06:57:00,06:57:10,1110,4,0,0
9,06:59:00,06:59:10,1100,5,0,0
9,07:02:00,07:02:10,1090,6,0,0
9,07:03:00,07:03:10,1080,7,0,0
9,07:06:00,07:06:10,1070,8,0,0
9,07:08:00,07:08:10,1060,9,0,0
9,07:10:00,07:10:10,1050,10,0,0
9,07:12:00,07:12:10,1040,11,0,0
9,07:15:00,07:15:10,1030,12,0,0
9,07:17:00,07:17:10,1020,13,0,0
9,07:21:00,07:21:10,1010,14,0,0
10,07:03:00,07:03:10,1140,1,0,0
10,07:04:00,07:04:10,1130,2,0,0
10,07:05:00,07:05:10,1120,3,0,0
10,07:07:00,07:07:10,1110,4,0,0
10,07:09:00,07:09:10,1100,5,0,0
10,07:12:00,07:12:10,1090,6,0,0
10,07:13:00,07:13:10,1080,7,0,0
10,07:16:00,07:16:10,1070,8,0,0
10,07:18:00,07:18:10,1060,9,0,0
10,07:20:00,07:20:10,1050,10,0,0
10,07:22:00,07:22:10,1040,11,0,0
10,07:25:00,07:25:10,1030,12,0,0
10,07:27:00,07:27:10,1020,13,0,0
10,07:31:00,07:31:10,1010,14,0,0
11,07:22:00,07:22:10,1140,1,0,0
11,07:23:00,07:23:10,1130,2,0,0
11,07:24:00,07:24:10,1120,3,0,0
11,07:26:00,07:26:10,1110,4,0,0
11,07:28:00,07:28:10,1100,5,0,0
11,07:31:00,07:31:10,1090,6,0,0
11,07:32:00,07:32:10,1080,7,0,0
11,07:35:00,07:35:10,1070,8,0,0
