service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,1,20150702,20150904
2,1,1,1,1,1,0,0,20150702,20150904
3,0,0,0,0,1,0,0,20150905,20151021
4,0,0,0,1,0,0,0,20150905,20151021
5,1,1,1,0,0,0,0,20150905,20151021
6,0,0,0,0,0,1,1,20150905,20151021
7,0,1,1,1,0,0,0,20150929,20151001
8,1,1,1,1,1,0,0,20151022,20151202
9,0,0,0,0,0,1,1,20151022,20151202
10,1,1,1,0,0,0,0,20151203,20161129
11,0,0,0,1,0,0,0,20151203,20161129
12,0,0,0,0,1,0,0,20151203,20161129
13,0,0,0,0,0,1,1,20151203,20161129
