trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
11000,10:00:00,10:00:00,001,1,0,0
11000,10:10:00,10:10:00,002,2,0,0
11100,11:00:00,11:00:00,001,1,0,0
11100,11:10:00,11:10:00,002,2,0,0
11200,12:00:00,12:00:00,001,1,0,0
11200,12:10:00,12:10:00,002,2,0,0
11300,13:00:00,13:00:00,001,1,0,0
11300,13:10:00,13:10:00,002,2,0,0
11400,14:00:00,14:00:00,001,1,0,0
11400,14:10:00,14:10:00,002,2,0,0
11500,15:00:00,15:00:00,001,1,0,0
11500,15:10:00,15:10:00,002,2,0,0
11600,16:00:00,16:00:00,001,1,0,0
11600,16:10:00,16:10:00,002,2,0,0
11700,17:00:00,17:00:00,001,1,0,0
11700,17:10:00,17:10:00,002,2,0,0
11800,18:00:00,18:00:00,001,1,0,0
11800,18:10:00,18:10:00,002,2,0,0
11900,19:00:00,19:00:00,001,1,0,0
11900,19:10:00,19:10:00,002,2,0,0
12000,20:00:00,10:00:00,001,1,0,0
12000,20:10:00,10:10:00,002,2,0,0
12100,21:00:00,21:00:00,001,1,0,0
12100,21:10:00,21:10:00,002,2,0,0
12200,22:00:00,22:00:00,001,1,0,0
12200,22:10:00,22:10:00,002,2,0,0
21030,10:30:00,10:30:00,002,1,0,0
21030,10:40:00,10:40:00,001,2,0,0
21130,11:30:00,11:30:00,002,1,0,0
21130,11:40:00,11:40:00,001,2,0,0
21230,12:30:00,12:30:00,002,1,0,0
21230,12:40:00,12:40:00,001,2,0,0
21330,13:30:00,13:30:00,002,1,0,0
21330,13:40:00,13:40:00,001,2,0,0
21430,14:30:00,14:30:00,002,1,0,0
21430,14:40:00,14:40:00,001,2,0,0
21530,15:30:00,15:30:00,002,1,0,0
21530,15:40:00,15:40:00,001,2,0,0
21630,16:30:00,16:30:00,002,1,0,0
21630,16:40:00,16:40:00,001,2,0,0
21730,17:30:00,17:30:00,002,1,0,0
21730,17:40:00,17:40:00,001,2,0,0
21830,18:30:00,18:30:00,002,1,0,0
21830,18:40:00,18:40:00,001,2,0,0
21930,19:30:00,19:30:00,002,1,0,0
21930,19:40:00,19:40:00,001,2,0,0
22030,20:30:00,20:30:00,002,1,0,0
22030,20:40:00,20:40:00,001,2,0,0
22130,21:30:00,21:30:00,002,1,0,0
22130,21:40:00,21:40:00,001,2,0,0
22230,22:30:00,22:30:00,002,1,0,0
22230,22:40:00,22:40:00,001,2,0,0
