trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
11000,10:00:00,10:00:00,001,1,0,0,1
11000,10:15:00,10:15:00,002,2,0,0,1
11100,11:00:00,11:00:00,001,1,0,0,1
11100,11:15:00,11:15:00,002,2,0,0,1
11200,12:00:00,12:00:00,001,1,0,0,1
11200,12:15:00,12:15:00,002,2,0,0,1
11300,13:00:00,13:00:00,001,1,0,0,1
11300,13:15:00,13:15:00,002,2,0,0,1
11400,14:00:00,14:00:00,001,1,0,0,1
11400,14:15:00,14:15:00,002,2,0,0,1
11500,15:00:00,15:00:00,001,1,0,0,1
11500,15:15:00,15:15:00,002,2,0,0,1
11600,16:00:00,16:00:00,001,1,0,0,1
11600,16:15:00,16:15:00,002,2,0,0,1
11700,17:00:00,17:00:00,001,1,0,0,1
11700,17:15:00,17:15:00,002,2,0,0,1
11800,18:00:00,18:00:00,001,1,0,0,1
11800,18:15:00,18:15:00,002,2,0,0,1
11900,19:00:00,19:00:00,001,1,0,0,0
11900,19:15:00,19:15:00,002,2,0,0,0
12000,20:00:00,10:00:00,001,1,0,0,0
12000,20:15:00,10:15:00,002,2,0,0,0
12100,21:00:00,21:00:00,001,1,0,0,0
12100,21:15:00,21:15:00,002,2,0,0,0
12200,22:00:00,22:00:00,001,1,0,0,0
12200,22:15:00,22:15:00,002,2,0,0,0
12300,23:00:00,23:00:00,001,1,0,0,0
12300,23:15:00,23:15:00,002,2,0,0,0
20930,9:30:00,9:30:00,002,1,0,0,1
20930,9:45:00,9:45:00,001,2,0,0,1
21030,10:30:00,10:30:00,002,1,0,0,1
21030,10:45:00,10:45:00,001,2,0,0,1
21130,11:30:00,11:30:00,002,1,0,0,1
21130,11:45:00,11:45:00,001,2,0,0,1
21230,12:30:00,12:30:00,002,1,0,0,1
21230,12:45:00,12:45:00,001,2,0,0,1
21330,13:30:00,13:30:00,002,1,0,0,1
21330,13:45:00,13:45:00,001,2,0,0,1
21430,14:30:00,14:30:00,002,1,0,0,1
21430,14:45:00,14:45:00,001,2,0,0,1
21530,15:30:00,15:30:00,002,1,0,0,1
21530,15:45:00,15:45:00,001,2,0,0,1
21630,16:30:00,16:30:00,002,1,0,0,1
21630,16:45:00,16:45:00,001,2,0,0,1
21730,17:30:00,17:30:00,002,1,0,0,1
21730,17:45:00,17:45:00,001,2,0,0,1
21830,18:30:00,18:30:00,002,1,0,0,0
21830,18:45:00,18:45:00,001,2,0,0,0
21930,19:30:00,19:30:00,002,1,0,0,0
21930,19:45:00,19:45:00,001,2,0,0,0
22030,20:30:00,20:30:00,002,1,0,0,0
22030,20:45:00,20:45:00,001,2,0,0,0
22130,21:30:00,21:30:00,002,1,0,0,0
22130,21:45:00,21:45:00,001,2,0,0,0
22230,22:30:00,22:30:00,002,1,0,0,0
22230,22:45:00,22:45:00,001,2,0,0,0
22330,23:30:00,23:30:00,002,1,0,0,0
22330,23:45:00,23:45:00,001,2,0,0,0
