service_id,date,exception_type
1,20230506,1
1,20230507,1
1,20230513,1
1,20230514,1
1,20230520,1
1,20230521,1
1,20230909,1
1,20230910,1
1,20230916,1
1,20230917,1
1,20230923,1
1,20230924,1
2,20230707,1
2,20230716,1
2,20230718,1
2,20230721,1
2,20230722,1
2,20230723,1
2,20230725,1
2,20230728,1
2,20230729,1
2,20230730,1
2,20230801,1
2,20230802,1
2,20230803,1
2,20230804,1
2,20230806,1
2,20230812,1
2,20230820,1
2,20230821,1
2,20230825,1
2,20230826,1
2,20230829,1
2,20230913,1
2,20230916,1
2,20230917,1
2,20230923,1
