route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
AIR,SEPTA,Airport Line,Airport Line,,2,91456C,FFFFFF,http://www.septa.org/schedules/rail/index.html
CHE,SEPTA,Chestnut Hill East Line,Chestnut Hill East Line,,2,94763C,FFFFFF,http://www.septa.org/schedules/rail/index.html
CHW,SEPTA,Chestnut Hill West Line,Chestnut Hill West Line,,2,00B4B2,FFFFFF,http://www.septa.org/schedules/rail/index.html
LAN,SEPTA,Lansdale/Doylestown Line,Lansdale/Doylestown Line,,2,775B49,FFFFFF,http://www.septa.org/schedules/rail/index.html
MED,SEPTA,Media/Elwyn Line,Media/Elwyn Line,,2,007CC8,FFFFFF,http://www.septa.org/schedules/rail/index.html
FOX,SEPTA,Fox Chase Line,Fox Chase Line,,2,FF823D,FFFFFF,http://www.septa.org/schedules/rail/index.html
NOR,SEPTA,Manayunk/Norristown Line,Manayunk/Norristown Line,,2,EE4C69,FFFFFF,http://www.septa.org/schedules/rail/index.html
PAO,SEPTA,Paoli/Thorndale Line,Paoli/Thorndale Line,,2,20825C,FFFFFF,http://www.septa.org/schedules/rail/index.html
CYN,SEPTA,Cynwyd Line,Cynwyd Line,,2,6F549E,FFFFFF,http://www.septa.org/schedules/rail/index.html
TRE,SEPTA,Trenton Line,Trenton Line,,2,F683C9,FFFFFF,http://www.septa.org/schedules/rail/index.html
WAR,SEPTA,Warminster Line,Warminster Line,,2,F7AF42,FFFFFF,http://www.septa.org/schedules/rail/index.html
WIL,SEPTA,Wilmington/Newark Line,Wilmington/Newark Line,,2,8AD16B,FFFFFF,http://www.septa.org/schedules/rail/index.html
WTR,SEPTA,West Trenton Line,West Trenton Line,,2,5D5EBC,FFFFFF,http://www.septa.org/schedules/rail/index.html
