route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id,direction_id
PAO,M2,PAO_3531_V7_M,Malvern,3531,3531,007505,1
NOR,M2,NOR_219_V7_M,Center City Philadelphia,219,219,228007,1
MED,M2,MED_5305_V7_M,Swarthmore,5305,5305,007305,1
PAO,M1,PAO_3565_V6_M,Thorndale,3565,3565,007501,1
AIR,M1,AIR_401_V6_M,Airport Terminal E F,401,401,007401,1
AIR,M1,AIR_435_V6_M,Airport Terminal E F,435,435,007401,1
NOR,M2,NOR_210_V7_M,Norristown - Elm Street,210,210,406228,0
WAR,M1,WAR_462_V6_M,Warminster,462,462,406417,0
WTR,M2,WTR_3531_V7_M,Center City Philadelphia,3531,3531,327007,1
CHE,M1,CHE_7433_V6_M,Center City Philadelphia,7433,7433,720007,1
CHE,M2,CHE_7417_V7_M,Center City Philadelphia,7417,7417,720007,1
WAR,M1,WAR_430_V6_M,Warminster,430,430,406417,0
NOR,M3,NOR_6241_V6_M,Center City Philadelphia,6241,6241,228004,1
CHE,M2,CHE_4760_V7_M,Chestnut Hill East,4760,4760,406720,0
CHE,M1,CHE_7425_V6_M,Center City Philadelphia,7425,7425,720007,1
PAO,M1,PAO_5362_V66_M,Center City Philadelphia,5362,5362,501004,0
FOX,M1,FOX_866_V6_M,Fox Chase,866,866,004815,0
PAO,M1,PAO_1512_V66_M,Center City Philadelphia,1512,1512,501006,0
MED,M2,MED_3534_V7_M,Center City Philadelphia,3534,3534,305406,0
LAN,M2,LAN_5335_V7_M,Center City Philadelphia,5335,5335,538007,1
FOX,M1,FOX_811_V6_M,Center City Philadelphia,811,811,815007,1
WIL,M1,WIL_223_V6_M,Marcus Hook,223,223,007205,1
PAO,M2,PAO_3543_V7_M,Malvern,3543,3543,007505,1
NOR,M1,NOR_206_V6_M,Norristown - Elm Street,206,206,406228,0
WTR,M2,WTR_5354_V7_M,West Trenton,5354,5354,004327,0
LAN,M1,LAN_5321_V6_M,Center City Philadelphia,5321,5321,538007,1
WTR,M2,WTR_5366_V7_M,West Trenton,5366,5366,004327,0
LAN,M4,LAN_3552_V65_M,Lansdale,3552,3552,406531,0
AIR,M1,AIR_4728_V6_M,Center City Philadelphia,4728,4728,401406,0
PAO,M1,PAO_5314_V66_M,Center City Philadelphia,5314,5314,505004,0
WTR,M2,WTR_3547_V7_M,Center City Philadelphia,3547,3547,327007,1
WTR,M1,WTR_5314_V66_M,West Trenton,5314,5314,004327,0
WTR,M1,WTR_5360_V66_M,West Trenton,5360,5360,004327,0
WIL,M2,WIL_205_V7_M,Wilmington,205,205,007203,1
MED,M2,MED_3514_V7_M,Center City Philadelphia,3514,3514,305406,0
MED,M1,MED_5329_V6_M,Swarthmore,5329,5329,007305,1
TRE,M1,TRE_9727_V6_M,Trenton,9727,9727,007701,1
AIR,M2,AIR_422_V7_M,Center City Philadelphia,422,422,401406,0
WTR,M1,WTR_5326_V66_M,West Trenton,5326,5326,004327,0
WTR,M2,WTR_3535_V7_M,Center City Philadelphia,3535,3535,327007,1
AIR,M1,AIR_458_V6_M,Center City Philadelphia,458,458,401406,0
CHE,M2,CHE_7441_V7_M,Center City Philadelphia,7441,7441,720007,1
CHW,M2,CHW_849_V7_M,Chestnut Hill West,849,849,007801,1
WAR,M2,WAR_438_V7_M,Warminster,438,438,406417,0
NOR,M2,NOR_220_V7_M,Norristown - Elm Street,220,220,406228,0
PAO,M2,PAO_5314_V7_M,Center City Philadelphia,5314,5314,505004,0
WIL,M2,WIL_211_V7_M,Marcus Hook,211,211,007205,1
LAN,M2,LAN_5317_V7_M,Center City Philadelphia,5317,5317,538007,1
CHW,M1,CHW_805_V6_M,Chestnut Hill West,805,805,007801,1
FOX,M2,FOX_807_V7_M,Center City Philadelphia,807,807,815007,1
MED,M2,MED_3538_V7_M,Center City Philadelphia,3538,3538,305406,0
WIL,M1,WIL_217_V6_M,Wilmington,217,217,007203,1
MED,M1,MED_5331_V6_M,Swarthmore,5331,5331,007305,1
PAO,M1,PAO_3535_V6_M,Malvern,3535,3535,007505,1
CHW,M2,CHW_812_V7_M,Center City Philadelphia,812,812,801004,0
LAN,M1,LAN_5317_V6_M,Center City Philadelphia,5317,5317,538007,1
NOR,M1,NOR_215_V6_M,Center City Philadelphia,215,215,228007,1
AIR,M2,AIR_431_V7_M,Airport Terminal E F,431,431,007401,1
PAO,M1,PAO_3519_V6_M,Malvern,3519,3519,007505,1
TRE,M1,TRE_9728_V6_M,Center City Philadelphia,9728,9728,701007,0
TRE,M1,TRE_9726_V6_M,Center City Philadelphia,9726,9726,701007,0
CHW,M2,CHW_842_V7_M,Center City Philadelphia,842,842,801004,0
PAO,M2,PAO_3559_V7_M,Malvern,3559,3559,007505,1
LAN,M1,LAN_3520_V6_M,Doylestown,3520,3520,406538,0
WTR,M1,WTR_3569_V6_M,Center City Philadelphia,3569,3569,327007,1
AIR,M1,AIR_427_V6_M,Airport Terminal E F,427,427,007401,1
NOR,M2,NOR_217_V7_M,Center City Philadelphia,217,217,228007,1
WAR,M2,WAR_471_V7_M,Center City Philadelphia,471,471,417007,1
MED,M1,MED_5313_V6_M,Swarthmore,5313,5313,007305,1
MED,M1,MED_5305_V6_M,Swarthmore,5305,5305,007305,1
PAO,M2,PAO_5354_V7_M,Center City Philadelphia,5354,5354,505004,0
WIL,M2,WIL_228_V7_M,Center City Philadelphia,228,228,205406,0
WTR,M1,WTR_5322_V66_M,West Trenton,5322,5322,004327,0
WAR,M1,WAR_411_V6_M,Center City Philadelphia,411,411,417007,1
AIR,M2,AIR_472_V7_M,Center City Philadelphia,472,472,401406,0
CHE,M1,CHE_7457_V6_M,Center City Philadelphia,7457,7457,720007,1
WIL,M1,WIL_229_V6_M,Wilmington,229,229,007203,1
TRE,M1,TRE_9722_V6_M,Center City Philadelphia,9722,9722,701007,0
PAO,M1,PAO_1544_V66_M,Center City Philadelphia,1544,1544,505006,0
TRE,M2,TRE_9728_V7_M,Center City Philadelphia,9728,9728,701007,0
CHW,M1,CHW_855_V6_M,Chestnut Hill West,855,855,007801,1
AIR,M1,AIR_7461_V6_M,Airport Terminal E F,7461,7461,007401,1
PAO,M1,PAO_1532_V66_M,Center City Philadelphia,1532,1532,501006,0
AIR,M2,AIR_4764_V7_M,Center City Philadelphia,4764,4764,401406,0
TRE,M2,TRE_9712_V7_M,Center City Philadelphia,9712,9712,701007,0
NOR,M2,NOR_6233_V7_M,Center City Philadelphia,6233,6233,228004,1
WTR,M1,WTR_3519_V6_M,Center City Philadelphia,3519,3519,327007,1
TRE,M2,TRE_9722_V7_M,Center City Philadelphia,9722,9722,701007,0
CHE,M1,CHE_4736_V6_M,Chestnut Hill East,4736,4736,406720,0
WAR,M4,WAR_526_V65_M,Glenside,526,526,004411,0
WIL,M2,WIL_222_V7_M,Center City Philadelphia,222,222,203406,0
PAO,M1,PAO_5326_V66_M,Center City Philadelphia,5326,5326,505004,0
AIR,M2,AIR_4712_V7_M,Center City Philadelphia,4712,4712,401406,0
TRE,M2,TRE_9740_V7_M,Center City Philadelphia,9740,9740,701007,0
WIL,M1,WIL_215_V6_M,Marcus Hook,215,215,007205,1
LAN,M1,LAN_5335_V6_M,Center City Philadelphia,5335,5335,538007,1
MED,M2,MED_3532_V7_M,Center City Philadelphia,3532,3532,305406,0
CHW,M1,CHW_834_V6_M,Center City Philadelphia,834,834,801004,0
AIR,M1,AIR_419_V6_M,Airport Terminal E F,419,419,007401,1
TRE,M1,TRE_9713_V6_M,Trenton,9713,9713,007701,1
NOR,M4,NOR_6248_V65_M,Norristown,6248,6248,004226,0
NOR,M3,NOR_6239_V6_M,Center City Philadelphia,6239,6239,228004,1
WTR,M1,WTR_5364_V66_M,West Trenton,5364,5364,004327,0
NOR,M1,NOR_211_V6_M,Center City Philadelphia,211,211,228007,1
LAN,M2,LAN_5333_V7_M,Center City Philadelphia,5333,5333,538007,1
WTR,M2,WTR_5364_V7_M,West Trenton,5364,5364,004327,0
CHW,M1,CHW_830_V6_M,Center City Philadelphia,830,830,801004,0
AIR,M1,AIR_4720_V6_M,Center City Philadelphia,4720,4720,401406,0
NOR,M1,NOR_235_V6_M,Center City Philadelphia,235,235,228007,1
AIR,M2,AIR_4704_V7_M,Center City Philadelphia,4704,4704,401406,0
LAN,M2,LAN_5323_V7_M,Center City Philadelphia,5323,5323,538007,1
AIR,M2,AIR_7409_V7_M,Airport Terminal E F,7409,7409,007401,1
FOX,M1,FOX_846_V6_M,Fox Chase,846,846,004815,0
PAO,M2,PAO_5346_V7_M,Center City Philadelphia,5346,5346,505004,0
TRE,M3,TRE_9744_V6_M,Center City Philadelphia,9744,9744,701007,0
AIR,M1,AIR_426_V6_M,Center City Philadelphia,426,426,401406,0
PAO,M1,PAO_5342_V66_M,Center City Philadelphia,5342,5342,505004,0
AIR,M1,AIR_4716_V6_M,Center City Philadelphia,4716,4716,401406,0
WAR,M1,WAR_410_V6_M,Warminster,410,410,406417,0
TRE,M1,TRE_9737_V6_M,Trenton,9737,9737,007701,1
MED,M2,MED_5331_V7_M,Swarthmore,5331,5331,007305,1
CHW,M1,CHW_818_V6_M,Center City Philadelphia,818,818,801004,0
CHW,M1,CHW_854_V6_M,Center City Philadelphia,854,854,801004,0
CHE,M4,CHE_6707_V65_M,Center City Philadelphia,6707,6707,720004,1
WAR,M1,WAR_415_V6_M,Center City Philadelphia,415,415,417007,1
PAO,M4,PAO_9553_V65_M,Paoli/Thorndale,9553,9553,007501,1
AIR,M1,AIR_411_V6_M,Airport Terminal E F,411,411,007401,1
AIR,M1,AIR_434_V6_M,Center City Philadelphia,434,434,401406,0
CHW,M1,CHW_859_V6_M,Chestnut Hill West,859,859,007801,1
NOR,M2,NOR_208_V7_M,Norristown - Elm Street,208,208,406228,0
TRE,M2,TRE_9730_V7_M,Center City Philadelphia,9730,9730,701007,0
CHW,M2,CHW_861_V7_M,Chestnut Hill West,861,861,007801,1
WTR,M1,WTR_3523_V6_M,Center City Philadelphia,3523,3523,327007,1
WAR,M2,WAR_443_V7_M,Center City Philadelphia,443,443,417007,1
WAR,M1,WAR_475_V6_M,Center City Philadelphia,475,475,411007,1
AIR,M1,AIR_7453_V6_M,Airport Terminal E F,7453,7453,007401,1
AIR,M2,AIR_7437_V7_M,Airport Terminal E F,7437,7437,007401,1
NOR,M2,NOR_226_V7_M,Norristown - Elm Street,226,226,406228,0
LAN,M1,LAN_3518_V6_M,Doylestown,3518,3518,406538,0
NOR,M2,NOR_6200_V7_M,Norristown,6200,6200,004228,0
NOR,M4,NOR_6299_V65_M,Center City Philadelphia,6299,6299,223004,1
LAN,M2,LAN_3534_V7_M,Doylestown,3534,3534,406538,0
WAR,M1,WAR_423_V6_M,Center City Philadelphia,423,423,417007,1
NOR,M1,NOR_227_V6_M,Center City Philadelphia,227,227,228007,1
WTR,M2,WTR_5358_V7_M,West Trenton,5358,5358,004327,0
FOX,M2,FOX_813_V7_M,Center City Philadelphia,813,813,815007,1
PAO,M1,PAO_9572_V66_M,Center City Philadelphia,9572,9572,505007,0
MED,M2,MED_5313_V7_M,Swarthmore,5313,5313,007305,1
PAO,M1,PAO_1545_V66_M,Paoli/Thorndale,1545,1545,006501,1
PAO,M2,PAO_3563_V7_M,Malvern,3563,3563,007505,1
WTR,M2,WTR_3559_V7_M,Center City Philadelphia,3559,3559,327007,1
PAO,M1,PAO_3551_V6_M,Malvern,3551,3551,007505,1
PAO,M1,PAO_1537_V66_M,Paoli/Thorndale,1537,1537,006501,1
NOR,M1,NOR_2573_V6_M,Center City Philadelphia,2573,2573,228007,1
WTR,M2,WTR_5314_V7_M,West Trenton,5314,5314,004327,0
LAN,M1,LAN_3528_V6_M,Doylestown,3528,3528,406538,0
PAO,M2,PAO_3567_V7_M,Malvern,3567,3567,007505,1
PAO,M2,PAO_5364_V7_M,Center City Philadelphia,5364,5364,505004,0
AIR,M1,AIR_406_V6_M,Center City Philadelphia,406,406,401406,0
FOX,M2,FOX_818_V7_M,Fox Chase,818,818,004815,0
WTR,M4,WTR_6391_V65_M,Center City Philadelphia,6391,6391,323004,1
WAR,M2,WAR_439_V7_M,Center City Philadelphia,439,439,417007,1
MED,M1,MED_5317_V6_M,Swarthmore,5317,5317,007305,1
CHE,M2,CHE_7461_V7_M,Center City Philadelphia,7461,7461,720007,1
NOR,M1,NOR_205_V6_M,Center City Philadelphia,205,205,228007,1
AIR,M1,AIR_7465_V6_M,Airport Terminal E F,7465,7465,007401,1
TRE,M2,TRE_9723_V7_M,Trenton,9723,9723,007701,1
LAN,M1,LAN_5309_V6_M,Center City Philadelphia,5309,5309,538007,1
PAO,M1,PAO_3547_V6_M,Malvern,3547,3547,007505,1
TRE,M4,TRE_9747_V65_M,Trenton,9747,9747,007701,1
TRE,M2,TRE_9724_V7_M,Center City Philadelphia,9724,9724,701007,0
AIR,M1,AIR_478_V6_M,Center City Philadelphia,478,478,401406,0
AIR,M1,AIR_446_V6_M,Center City Philadelphia,446,446,401406,0
MED,M2,MED_3540_V7_M,Center City Philadelphia,3540,3540,305406,0
CHE,M1,CHE_4724_V6_M,Chestnut Hill East,4724,4724,406720,0
MED,M1,MED_5335_V6_M,Swarthmore,5335,5335,007305,1
WTR,M1,WTR_3543_V6_M,Center City Philadelphia,3543,3543,327007,1
WIL,M1,WIL_219_V6_M,Marcus Hook,219,219,007205,1
PAO,M1,PAO_3569_V6_M,Malvern,3569,3569,007505,1
NOR,M4,NOR_7250_V65_M,Norristown,7250,7250,004228,0
MED,M2,MED_3536_V7_M,Center City Philadelphia,3536,3536,305406,0
AIR,M1,AIR_442_V6_M,Center City Philadelphia,442,442,401406,0
TRE,M2,TRE_9713_V7_M,Trenton,9713,9713,007701,1
