stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type
40.1305556,3,-75.0119444,,90321,,Somerton,0
40.1277778,3,-75.0205556,,90320,,Forest Hills,0
40.1469444,4,-74.9616667,,90323,,Neshaminy,0
40.1402778,4,-74.9825,,90322,,Trevose,0
40.1925,5,-74.8891667,,90325,,Woodbourne,0
40.1608333,4,-74.9125,,90324,,Langhorne,0
40.2577778,6,-74.8152778,,90327,,West Trenton,0
40.2352778,5,-74.8305556,,90326,,Yardley,0
40.0438889,3,-75.3725,,90512,,St. Davids,0
40.0447222,3,-75.3588889,,90513,,Radnor,0
40.0494444,3,-75.4030556,,90510,,Strafford,0
40.0458333,,-75.3866667,,90511,,Wayne,0
40.0219444,3,-75.3163889,,90516,,Bryn Mawr,0
40.0138889,2,-75.2997222,,90517,,Haverford,0
40.0383333,3,-75.3416667,,90514,,Villanova,0
40.0277778,3,-75.3266667,,90515,,Rosemont,0
40.0083333,2,-75.2902778,,90518,,Ardmore,0
40.0027778,2,-75.2725,,90519,,Wynnewood,0
40.0113889,1,-75.1919444,,90219,,East Falls,0
40.0036111,1,-75.1647222,,90218,,Allegheny,0
39.9044444,2,-75.2708333,,90215,,Sharon Hill,0
39.9005556,2,-75.2797222,,90214,,Folcroft,0
39.9130556,2,-75.2544444,,90217,,Darby,0
39.9080556,2,-75.265,,90216,,Curtis Park,0
39.8883333,2,-75.3088889,,90211,,Prospect Park - Moore,0
39.8805556,3,-75.3222222,,90210,,Ridley Park,0
39.8963889,2,-75.29,,90213,,Glenolden,0
39.8916667,2,-75.3016667,,90212,,Norwood,0
40.2141667,4,-75.2772222,,90529,,North Wales,0
40.1847222,,-75.2569444,,90528,,Gwynedd Valley,0
40.17,4,-75.2441667,,90527,,Penllyn,0
40.1536111,3,-75.2247222,,90526,,Ambler,0
40.1358333,3,-75.2122222,,90525,,Fort Washington,0
40.1183333,3,-75.1838889,,90524,,Oreland,0
40.1119444,3,-75.1694444,,90523,,North Hills,0
39.9894444,2,-75.2494444,,90522,,Overbrook,0
39.9986111,2,-75.2513889,,90521,,Merion,0
40.0047222,2,-75.2613889,,90520,,Narberth,0
39.8572222,3,-75.3422222,,90208,,Eddystone,0
39.8719444,3,-75.3311111,,90209,,Crum Lynne,0
39.8336111,4,-75.3933333,,90206,,Highland Avenue,0
39.8497222,3,-75.36,,90207,,Chester,0
39.7977778,4,-75.4522222,,90204,,Claymont,0
39.8216667,4,-75.4194444,,90205,,Marcus Hook,0
39.695,5,-75.6725,,90202,,Churchman's Crossing,0
39.7372222,4,-75.5511111,,90203,,Wilmington,0
39.6705556,5,-75.7527778,,90201,,Newark,0
40.3063889,5,-75.1302778,,90538,,Doylestown,0
40.25,,-75.2791667,,90539,,9TH Street Lansdale,0
40.2302778,5,-75.2816667,,90530,,Pennbrook,0
40.2427778,5,-75.285,,90531,,Lansdale,0
40.2594444,5,-75.2661111,,90532,,Fortuna,0
40.2683333,5,-75.2544444,,90533,,Colmar,0
40.2738889,5,-75.2466667,,90534,,Link Belt,0
40.2877778,5,-75.2097222,,90535,,Chalfont,0
40.2975,5,-75.1797222,,90536,,New Britain,0
40.2972222,5,-75.1616667,,90537,,Delaware Valley College,0
40.1047222,4,-74.8547222,,90703,,Bristol,0
40.1402778,5,-74.8169444,,90702,,Levittown-Tullytown,0
40.2177778,6,-74.755,,90701,,Trenton,0
40.0544444,3,-74.9844444,,90707,,Torresdale,0
40.0716667,3,-74.9522222,,90706,,Cornwells Heights,0
40.0830556,4,-74.9336111,,90705,,Eddington,0
40.0936111,4,-74.9066667,,90704,,Croydon,0
40.0233333,2,-75.0388889,,90709,,Tacony,0
40.0327778,2,-75.0236111,,90708,,Holmesburg Jct,0
40.0741667,3,-75.2861111,,90224,,Spring Mill,0
40.0722222,3,-75.3086111,,90225,,Conshohocken,0
40.1127778,3,-75.3441667,,90226,,Norristown T.C.,0
40.1172222,3,-75.3486111,,90227,,Main Street,0
40.0166667,2,-75.2102778,,90220,,Wissahickon,0
40.0269444,2,-75.225,,90221,,Manayunk,0
40.0341667,2,-75.2355556,,90222,,Ivy Ridge,0
40.0586111,2,-75.2663889,,90223,,Miquon,0
40.0580556,1,-75.0927778,,90813,,Cheltenham,0
40.0513889,1,-75.1030556,,90812,,Lawndale,0
40.0333333,1,-75.1227778,,90811,,Olney,0
39.9977778,,-75.1563889,,90810,,North Philadelphia,0
40.1208333,3,-75.345,,90228,,Norristown - Elm Street,0
40.0763889,2,-75.0833333,,90815,,Fox Chase,0
40.0641667,2,-75.0863889,,90814,,Ryers,0
39.9158333,2,-75.3097222,,90307,,Secane,0
39.9077778,2,-75.3288889,,90306,,Morton-Rutledge,0
39.9022222,3,-75.3508333,,90305,,Swarthmore,0
39.9036111,3,-75.3719444,,90304,,Wallingford,0
39.9061111,3,-75.3886111,,90303,,Moylan-Rose Valley,0
39.9144444,3,-75.395,,90302,,Media,0
39.9075,3,-75.4116667,,90301,,Elwyn,0
40.0508333,2,-75.1713889,,90714,,Washington Lane,0
40.0605556,2,-75.1786111,,90715,,Stenton,0
40.0627778,2,-75.1852778,,90716,,Sedgwick,0
40.0652778,2,-75.1908333,,90717,,Mount Airy,0
40.0105556,2,-75.0697222,,90710,,Bridesburg,0
39.9972222,,-75.155,,90711,,North Philadelphia Amtrak,0
39.9266667,2,-75.2902778,,90309,,Clifton-Aldan,0
39.9216667,2,-75.2983333,,90308,,Primos,0
39.9922222,1,-75.1538889,,90008,,North Broad,0
40.0222222,1,-75.16,,90009,,Wayne Junction,0
39.9566667,C,-75.1816667,,90004,,30th Street Station,0
39.9538889,C,-75.1677778,,90005,,Suburban Station,0
39.9525,C,-75.1580556,,90006,,Jefferson Station,0
39.9813889,C,-75.1494444,,90007,,Temple University,0
40.0066667,2,-75.2316667,,90001,,Cynwyd,0
40.0011111,2,-75.2277778,,90002,,Bala,0
39.99,1,-75.2255556,,90003,,Wynnefield Avenue,0
40.0575,2,-75.1947222,,90804,,Allen Lane,0
40.0511111,2,-75.1913889,,90805,,Carpenter,0
40.0425,2,-75.19,,90806,,Upsal,0
40.0352778,2,-75.1869444,,90807,,Tulpehocken,0
40.0763889,2,-75.2083333,,90801,,Chestnut Hill West,0
40.0705556,2,-75.2111111,,90802,,Highland,0
40.0658333,2,-75.2044444,,90803,,St. Martins,0
40.0927778,,-75.1375,,90410,,Jenkintown Wyncote,0
40.03,1,-75.1808333,,90808,,Chelten Avenue,0
40.0233333,1,-75.1780556,,90809,,Queen Lane,0
40.1952778,4,-75.0891667,,90417,,Warminster,0
40.1761111,4,-75.1025,,90416,,Hatboro,0
40.1438889,,-75.1141667,,90415,,Willow Grove,0
40.1333333,3,-75.1186111,,90414,,Crestmont,0
40.1208333,3,-75.1341667,,90413,,Roslyn,0
40.1141667,3,-75.1530556,,90412,,Ardsley,0
40.1013889,3,-75.1536111,,90411,,Glenside,0
39.9591667,C,-75.1883333,,91004,,30th St Lower Level,0
39.9327778,2,-75.2822222,,90310,,Gladstone,0
39.9375,2,-75.2708333,,90311,,Lansdowne,0
39.9397222,2,-75.2558333,,90312,,Fernwood-Yeadon,0
39.9447222,1,-75.2386111,,90313,,Angora,0
39.9436111,1,-75.2166667,,90314,,49th Street,0
40.1044444,3,-75.1241667,,90315,,Noble,0
40.1075,3,-75.1105556,,90316,,Rydal,0
40.1113889,3,-75.0925,,90317,,Meadowbrook,0
40.1166667,3,-75.0683333,,90318,,Bethayres,0
40.1219444,3,-75.0436111,,90319,,Philmont,0
40.0811111,2,-75.2072222,,90720,,Chestnut Hill East,0
40.0594444,2,-75.1291667,,90408,,Melrose Park,0
40.0713889,2,-75.1277778,,90409,,Elkins Park,0
39.8794444,5,-75.2397222,,90401,,Airport Terminal E F,0
39.8780556,5,-75.24,,90402,,Airport Terminal C D,0
39.8772222,5,-75.2413889,,90403,,Airport Terminal B,0
39.8761111,5,-75.2452778,,90404,,Airport Terminal A,0
39.8927778,2,-75.2438889,,90405,,Eastwick,0
39.9480556,C,-75.1902778,,90406,,Penn Medicine Station,0
40.0405556,1,-75.1347222,,90407,,Fern Rock T C,0
40.0733333,2,-75.1966667,,90718,,Wyndmoor,0
40.0775,2,-75.2016667,,90719,,Gravers,0
39.9927778,,-75.7636111,,90501,,Thorndale,0
40.0147222,5,-75.6380556,,90503,,Whitford,0
40.0022222,5,-75.7102778,,90502,,Downingtown,0
40.0363889,5,-75.5155556,,90505,,Malvern,0
40.0191667,5,-75.6227778,,90504,,Exton,0
40.0430556,4,-75.4605556,,90507,,Daylesford,0
40.0430556,4,-75.4827778,,90506,,Paoli,0
40.0472222,4,-75.4227778,,90509,,Devon,0
40.0480556,4,-75.4422222,,90508,,Berwyn,0
40.0361111,1,-75.1611111,,90712,,Wister,0
40.0375,1,-75.1716667,,90713,,Germantown,0
