"block_id","direction_id","original_trip_id","route_id","trip_headsign","shape_id","service_id","trip_id","trip_short_name","wheelchair_accessible"
"b_847","1","FOX_847_V50_M","FOX","Center City Philadelphia","815004","M2_merged_815013","FOX_847_V50_M_merged_816140","847","1"
"b_3860","0","FOX_3860_V25_M","FOX","Fox Chase","406815","M1_merged_815011","FOX_3860_V25_M_merged_816285","3860","1"
"a_207","1","WIL_207_V37_M","WIL","Wilmington","007203","M3_merged_815009","WIL_207_V37_M_merged_815486","207","1"
"b_460","0","AIR_460_V50_M","AIR","Center City Philadelphia","401406","M2_merged_815013","AIR_460_V50_M_merged_816376","460","1"
"b_735","1","CHE_735_V51_M","CHE","Center City Philadelphia","720007","M2_merged_815013","CHE_735_V51_M_merged_816535","735","1"
"b_465","1","AIR_465_V50_M","AIR","Airport Terminal E F","007401","M2_merged_815013","AIR_465_V50_M_merged_816430","465","1"
"b_472","0","WAR_472_V50_M","WAR","Warminster","406417","M2_merged_815013","WAR_472_V50_M_merged_816438","472","1"
"b_416","0","AIR_416_V50_M","AIR","Center City Philadelphia","401406","M2_merged_815013","AIR_416_V50_M_merged_815926","416","1"
"b_403","1","AIR_403_V37_M","AIR","Airport Terminal E F","007401","M3_merged_815012","AIR_403_V37_M_merged_816060","403","1"
"b_440","0","WAR_440_V50_M","WAR","Warminster","406417","M2_merged_815013","WAR_440_V50_M_merged_815905","440","1"
"b_235","1","WIL_235_V27_M","WIL","Wilmington","007203","M1_merged_815011","WIL_235_V27_M_merged_816005","235","1"
"a_1507","1","PAO_1507_V50_M","PAO","Paoli/Thorndale","006505","M2_merged_815010","PAO_1507_V50_M_merged_815738","1507","1"
"a_5356","0","WTR_5356_V51_M","WTR","West Trenton","004327","M2_merged_815010","WTR_5356_V51_M_merged_815421","5356","1"
"b_727","1","CHE_727_V37_M","CHE","Center City Philadelphia","720007","M3_merged_815012","CHE_727_V37_M_merged_816491","727","1"
"b_207","1","NOR_207_V26_M","NOR","Center City Philadelphia","228007","M1_merged_815011","NOR_207_V26_M_merged_816437","207","1"
"b_3210","0","NOR_3210_V50_M","NOR","Norristown - Elm Street","406228","M2_merged_815013","NOR_3210_V50_M_merged_816380","3210","1"
"a_6256","0","NOR_6256_V50_M","NOR","Norristown","004228","M2_merged_815010","NOR_6256_V50_M_merged_815732","6256","1"
"a_426","0","WAR_426_V37_M","WAR","Warminster","406417","M3_merged_815009","WAR_426_V37_M_merged_815613","426","1"
"b_457","1","WAR_457_V50_M","WAR","Center City Philadelphia","417007","M2_merged_815013","WAR_457_V50_M_merged_816594","457","1"
"a_5352","0","PAO_5352_V51_M","PAO","Center City Philadelphia","505004","M2_merged_815010","PAO_5352_V51_M_merged_815845","5352","1"
"a_9313","1","MED_9313_V52_M","MED","Media/Elwyn","007301","M2_merged_815010","MED_9313_V52_M_merged_815438","9313","1"
"b_4320","0","AIR_4320_V37_M","AIR","Center City Philadelphia","401406","M3_merged_815012","AIR_4320_V37_M_merged_815916","4320","1"
"a_445","1","AIR_445_V37_M","AIR","Airport Terminal E F","007401","M3_merged_815009","AIR_445_V37_M_merged_815118","445","1"
"b_710","0","TRE_710_V26_M","TRE","Center City Philadelphia","701004","M1_merged_815011","TRE_710_V26_M_merged_815928","710","1"
"a_3234","0","MED_3234_V50_M","MED","Center City Philadelphia","301406","M2_merged_815010","MED_3234_V50_M_merged_815251","3234","1"
"b_9501","1","PAO_9501_V50_M","PAO","Paoli/Thorndale","007505","M2_merged_815013","PAO_9501_V50_M_merged_816630","9501","1"
"a_3226","0","NOR_3226_V50_M","NOR","Norristown - Elm Street","406228","M2_merged_815010","NOR_3226_V50_M_merged_815695","3226","1"
"b_5304","0","WTR_5304_V50_M","WTR","West Trenton","004327","M2_merged_815013","WTR_5304_V50_M_merged_816536","5304","1"
"b_2518","0","LAN_2518_V50_M","LAN","Doylestown","406538","M2_merged_815013","LAN_2518_V50_M_merged_816035","2518","1"
"b_469","1","WAR_469_V25_M","WAR","Center City Philadelphia","417007","M1_merged_815011","WAR_469_V25_M_merged_815988","469","1"
"a_9439","1","AIR_9439_V50_M","AIR","Airport","007401","M2_merged_815010","AIR_9439_V50_M_merged_815142","9439","1"
"b_5328","0","WTR_5328_V51_M","WTR","West Trenton","004327","M2_merged_815013","WTR_5328_V51_M_merged_816725","5328","1"
"a_2307","1","NOR_2307_V50_M","NOR","Center City Philadelphia","228007","M2_merged_815010","NOR_2307_V50_M_merged_815856","2307","1"
"a_5223","1","LAN_5223_V51_M","LAN","Center City Philadelphia","538007","M2_merged_815010","LAN_5223_V51_M_merged_815140","5223","1"
"a_464","0","WAR_464_V37_M","WAR","Warminster","406417","M3_merged_815009","WAR_464_V37_M_merged_815337","464","1"
"b_9701","1","TRE_9701_V37_M","TRE","Trenton","007701","M3_merged_815012","TRE_9701_V37_M_merged_815900","9701","1"
"a_9467","1","AIR_9467_V50_M","AIR","Airport","007401","M2_merged_815010","AIR_9467_V50_M_merged_815108","9467","1"
"a_8377","1","MED_8377_V37_M","MED","Elwyn","007301","M3_merged_815009","MED_8377_V37_M_merged_815025","8377","1"
"a_453","1","WAR_453_V25_M","WAR","Center City Philadelphia","417007","M1_merged_815008","WAR_453_V25_M_merged_815354","453","1"
"a_9418","0","AIR_9418_V50_M","AIR","Center City Philadelphia","401007","M2_merged_815010","AIR_9418_V50_M_merged_815157","9418","1"
"b_530","0","","PAO","Center City Philadelphia","505004","M1_merged_815011","PAO_530_V26_M","530","1"
"a_231","1","NOR_231_V37_M","NOR","Center City Philadelphia","228007","M3_merged_815009","NOR_231_V37_M_merged_815651","231","1"
"b_723","1","CHE_723_V26_M","CHE","Center City Philadelphia","720007","M1_merged_815011","CHE_723_V26_M_merged_816026","723","1"
"a_3204","0","NOR_3204_V50_M","NOR","Norristown - Elm Street","406228","M2_merged_815010","NOR_3204_V50_M_merged_815864","3204","1"
"b_3858","0","FOX_3858_V25_M","FOX","Fox Chase","406815","M1_merged_815011","FOX_3858_V25_M_merged_815959","3858","1"
"b_2510","0","WIL_2510_V50_M","WIL","Center City Philadelphia","203406","M2_merged_815013","WIL_2510_V50_M_merged_816653","2510","1"
"a_224","0","WIL_224_V37_M","WIL","Center City Philadelphia","203406","M3_merged_815009","WIL_224_V37_M_merged_815670","224","1"
"a_730","0","CHE_730_V37_M","CHE","Chestnut Hill East","004720","M3_merged_815009","CHE_730_V37_M_merged_815548","730","1"
"b_407","1","AIR_407_V37_M","AIR","Airport Terminal E F","007401","M3_merged_815012","AIR_407_V37_M_merged_816665","407","1"
"a_715","1","TRE_715_V37_M","TRE","Trenton","007701","M3_merged_815009","TRE_715_V37_M_merged_815794","715","1"
"a_212","0","NOR_212_V26_M","NOR","Norristown - Elm Street","406228","M1_merged_815008","NOR_212_V26_M_merged_815091","212","1"
"a_434","0","AIR_434_V37_M","AIR","Center City Philadelphia","401406","M3_merged_815009","AIR_434_V37_M_merged_815343","434","1"
"b_563","1","LAN_563_V37_M","LAN","Center City Philadelphia","538007","M3_merged_815012","LAN_563_V37_M_merged_815962","563","1"
"b_6329","1","WTR_6329_V28_M","WTR","Center City Philadelphia","327004","M2_merged_815013","WTR_6329_V28_M_merged_816744","6329","1"
"b_3868","0","MED_3868_V25_M","MED","Center City Philadelphia","301406","M1_merged_815011","MED_3868_V25_M_merged_816537","3868","1"
"a_2518","0","WIL_2518_V50_M","WIL","Center City Philadelphia","203406","M2_merged_815010","WIL_2518_V50_M_merged_815291","2518","1"
"b_3505","1","WTR_3505_V50_M","WTR","Center City Philadelphia","327007","M2_merged_815013","WTR_3505_V50_M_merged_816590","3505","1"
"b_2500","0","LAN_2500_V50_M","LAN","Doylestown","406538","M2_merged_815013","LAN_2500_V50_M_merged_816409","2500","1"
"a_5308","0","PAO_5308_V51_M","PAO","Center City Philadelphia","505004","M2_merged_815010","PAO_5308_V51_M_merged_815299","5308","1"
"a_3457","1","WTR_3457_V27_M","WTR","Center City Philadelphia","327007","M1_merged_815008","WTR_3457_V27_M_merged_815277","3457","1"
"a_5300","0","WTR_5300_V50_M","WTR","West Trenton","004327","M2_merged_815010","WTR_5300_V50_M_merged_815272","5300","1"
"a_4700","0","AIR_4700_V50_M","AIR","Center City Philadelphia","401406","M2_merged_815010","AIR_4700_V50_M_merged_815532","4700","1"
"b_9447","1","AIR_9447_V50_M","AIR","Airport","007401","M2_merged_815013","AIR_9447_V50_M_merged_815892","9447","1"
"a_452","0","AIR_452_V50_M","AIR","Center City Philadelphia","401406","M2_merged_815010","AIR_452_V50_M_merged_815097","452","1"
"b_703","1","CHE_703_V37_M","CHE","Center City Philadelphia","720007","M3_merged_815012","CHE_703_V37_M_merged_816001","703","1"
"a_3457","1","WTR_3457_V37_M","WTR","Center City Philadelphia","327007","M3_merged_815009","WTR_3457_V37_M_merged_815235","3457","1"
"b_442","0","WAR_442_V25_M","WAR","Warminster","406417","M1_merged_815011","WAR_442_V25_M_merged_816061","442","1"
"a_707","1","TRE_707_V26_M","TRE","Trenton","007701","M1_merged_815008","TRE_707_V26_M_merged_815062","707","1"
"b_706","0","CHE_706_V37_M","CHE","Chestnut Hill East","004720","M3_merged_815012","CHE_706_V37_M_merged_816414","706","1"
"b_8387","1","FOX_8387_V37_M","FOX","Center City Philadelphia","815007","M3_merged_815012","FOX_8387_V37_M_merged_816366","8387","1"
"b_715","1","TRE_715_V37_M","TRE","Trenton","007701","M3_merged_815012","TRE_715_V37_M_merged_816666","715","1"
"a_5344","0","PAO_5344_V51_M","PAO","Center City Philadelphia","505004","M2_merged_815010","PAO_5344_V51_M_merged_815777","5344","1"
"a_5563","1","","PAO","Center City Philadelphia","522501","M1_merged_815008","PAO_5563_V26_M","5563","1"
"a_3425","1","AIR_3425_V27_M","AIR","Airport Terminal E F","007401","M1_merged_815008","AIR_3425_V27_M_merged_815038","3425","1"
"a_4336","0","AIR_4336_V37_M","AIR","Center City Philadelphia","401406","M3_merged_815009","AIR_4336_V37_M_merged_815023","4336","1"
"a_228","0","NOR_228_V26_M","NOR","Norristown - Elm Street","406228","M1_merged_815008","NOR_228_V26_M_merged_815224","228","1"
