trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
CYN_1055_V5_M,06:46:00,06:46:00,90005,1,0,0
CYN_1055_V5_M,06:51:00,06:51:00,90004,5,0,0
CYN_1055_V5_M,07:02:00,07:02:00,90003,15,0,0
CYN_1055_V5_M,07:05:00,07:05:00,90002,17,0,0
CYN_1055_V5_M,07:08:00,07:08:00,90001,19,0,0
CYN_1059_V5_M,08:10:00,08:10:00,90005,1,0,0
CYN_1059_V5_M,08:15:00,08:15:00,90004,5,0,0
CYN_1059_V5_M,08:26:00,08:26:00,90003,15,0,0
CYN_1059_V5_M,08:29:00,08:29:00,90002,17,0,0
CYN_1059_V5_M,08:31:00,08:31:00,90001,19,0,0
CYN_1081_V5_M,15:16:00,15:16:00,90005,1,0,0
CYN_1081_V5_M,15:21:00,15:21:00,90004,5,0,0
CYN_1081_V5_M,15:32:00,15:32:00,90003,15,0,0
CYN_1081_V5_M,15:35:00,15:35:00,90002,17,0,0
CYN_1081_V5_M,15:37:00,15:37:00,90001,19,0,0
CYN_1083_V5_M,16:37:00,16:37:00,90005,1,0,0
CYN_1083_V5_M,16:42:00,16:42:00,90004,5,0,0
CYN_1083_V5_M,16:53:00,16:53:00,90003,15,0,0
CYN_1083_V5_M,16:56:00,16:56:00,90002,17,0,0
CYN_1083_V5_M,16:58:00,16:58:00,90001,19,0,0
CYN_1085_V5_M,17:57:00,17:57:00,90005,1,0,0
CYN_1085_V5_M,18:02:00,18:02:00,90004,5,0,0
CYN_1085_V5_M,18:13:00,18:13:00,90003,15,0,0
CYN_1085_V5_M,18:16:00,18:16:00,90002,17,0,0
CYN_1085_V5_M,18:18:00,18:18:00,90001,19,0,0
TRE_1701_V5_M,05:40:00,05:40:00,90005,1,0,0
TRE_1701_V5_M,05:44:00,05:44:00,90004,5,0,0
TRE_1701_V5_M,05:54:00,05:54:00,90711,15,0,0
TRE_1701_V5_M,06:00:00,06:00:00,90710,17,0,0
TRE_1701_V5_M,06:03:00,06:03:00,90709,19,0,0
TRE_1701_V5_M,06:05:00,06:05:00,90708,20,0,0
TRE_1701_V5_M,06:08:00,06:08:00,90707,21,0,0
TRE_1701_V5_M,06:11:00,06:11:00,90706,23,0,0
TRE_1701_V5_M,06:17:00,06:17:00,90704,25,0,0
TRE_1701_V5_M,06:19:00,06:19:00,90703,26,0,0
TRE_1701_V5_M,06:24:00,06:24:00,90702,28,0,0
TRE_1701_V5_M,06:36:00,06:36:00,90701,31,0,0
NOR_207_V26_M,06:37:00,06:37:00,90228,1,0,0
NOR_207_V26_M,06:39:00,06:39:00,90227,3,0,0
NOR_207_V26_M,06:43:00,06:43:00,90226,6,0,0
NOR_207_V26_M,06:51:00,06:51:00,90225,9,0,0
NOR_207_V26_M,06:56:00,06:56:00,90224,10,0,0
NOR_207_V26_M,07:00:00,07:00:00,90223,11,0,0
NOR_207_V26_M,07:04:00,07:04:00,90222,15,0,0
NOR_207_V26_M,07:08:00,07:08:00,90221,17,0,0
NOR_207_V26_M,07:11:00,07:11:00,90220,18,0,0
NOR_207_V26_M,07:14:00,07:14:00,90219,20,0,0
NOR_207_V26_M,07:18:00,07:18:00,90218,21,0,0
NOR_207_V26_M,07:22:00,07:22:00,90008,23,0,0
NOR_207_V26_M,07:24:00,07:24:00,90007,24,0,0
NOR_207_V26_M,07:30:00,07:30:00,90006,27,0,0
NOR_207_V26_M,07:35:00,07:35:00,90005,29,0,0
WIL_207_V26_M,07:35:00,07:35:00,90005,29,0,0
WIL_207_V26_M,07:39:00,07:39:00,90004,33,0,0
WIL_207_V26_M,07:41:00,07:41:00,90406,36,0,0
WIL_207_V26_M,07:48:00,07:48:00,90217,41,0,0
WIL_207_V26_M,07:50:00,07:50:00,90216,43,0,0
WIL_207_V26_M,07:51:00,07:51:00,90215,44,0,0
WIL_207_V26_M,07:53:00,07:53:00,90214,45,0,0
WIL_207_V26_M,07:54:00,07:54:00,90213,46,0,0
WIL_207_V26_M,07:55:00,07:55:00,90212,47,0,0
WIL_207_V26_M,07:56:00,07:56:00,90211,48,0,0
WIL_207_V26_M,07:58:00,07:58:00,90210,49,0,0
WIL_207_V26_M,08:00:00,08:00:00,90209,50,0,0
WIL_207_V26_M,08:02:00,08:02:00,90208,52,0,0
WIL_207_V26_M,08:03:00,08:03:00,90207,53,0,0
WIL_207_V26_M,08:06:00,08:06:00,90206,55,0,0
WIL_207_V26_M,08:09:00,08:09:00,90205,57,0,0
WIL_207_V26_M,08:13:00,08:13:00,90204,59,0,0
WIL_207_V26_M,08:32:00,08:32:00,90203,63,0,0
NOR_207_V37_M,06:37:00,06:37:00,90228,1,0,0
NOR_207_V37_M,06:39:00,06:39:00,90227,3,0,0
NOR_207_V37_M,06:43:00,06:43:00,90226,6,0,0
NOR_207_V37_M,06:51:00,06:51:00,90225,9,0,0
NOR_207_V37_M,06:56:00,06:56:00,90224,10,0,0
NOR_207_V37_M,07:00:00,07:00:00,90223,11,0,0
NOR_207_V37_M,07:04:00,07:04:00,90222,15,0,0
NOR_207_V37_M,07:08:00,07:08:00,90221,17,0,0
NOR_207_V37_M,07:11:00,07:11:00,90220,18,0,0
NOR_207_V37_M,07:14:00,07:14:00,90219,20,0,0
NOR_207_V37_M,07:18:00,07:18:00,90218,21,0,0
NOR_207_V37_M,07:22:00,07:22:00,90008,23,0,0
NOR_207_V37_M,07:24:00,07:24:00,90007,24,0,0
