"route_id","service_id","trip_id","trip_headsign","block_id","trip_short_name","shape_id","direction_id","wheelchair_accessible"
"PAO","M1","PAO_9590_V55_M","Temple University","9590","9590","501007","0","1"
"WIL","M1","WIL_5211_V51_M","Wilmington","5211","5211","005203","1","1"
"CYN","M1","CYN_1085_V5_M","Cynwyd","1085","1085","005001","1","1"
"LAN","M3","LAN_530_V37_M","Doylestown","530","530","005538","0","1"
"WIL","M3","WIL_223_V37_M","Wilmington","223","223","005203","1","1"
"PAO","M2","PAO_563_V26_M","Thorndale","563","563","005501","1","1"
"MED","M3","MED_3866_V37_M","Center City Philadelphia","3866","3866","300005","0","1"
"CHE","M1","CHE_733_V51_M","Center City Philadelphia","733","733","720005","1","1"
"MED","M1","MED_3210_V50_M","Center City Philadelphia","3210","3210","300005","0","1"
"WAR","M2","WAR_448_V63_M","Glenside","448","448","005411","0","1"
"PAO","M3","PAO_538_V37_M","Center City Philadelphia","538","538","505005","0","1"
"PAO","M1","PAO_9560_V50_M","Temple University","9560","9560","501007","0","1"
"AIR","M1","AIR_4850_V55_M","Center City Philadelphia","4850","4850","401005","0","1"
"AIR","M3","AIR_418_V37_M","Center City Philadelphia","418","418","401005","0","1"
"CHW","M1","CHW_8242_V58_M","Center City Philadelphia","8242","8242","801005","0","1"
"PAO","M1","PAO_3557_V52_M","Thorndale","3557","3557","005501","1","1"
"CHE","M3","CHE_734_V37_M","Chestnut Hill East","734","734","005720","0","1"
"NOR","M3","NOR_215_V37_M","Center City Philadelphia","215","215","228005","1","1"
"NOR","M1","NOR_2507_V5_M","Center City Philadelphia","2507","2507","228005","1","1"
"FOX","M1","FOX_8427_V55_M","Center City Philadelphia","8427","8427","815005","1","1"
"CHE","M3","CHE_719_V37_M","Center City Philadelphia","719","719","720005","1","1"
"AIR","M1","AIR_9476_V52_M","Temple University","9476","9476","401007","0","1"
"CHW","M3","CHW_3831_V58_M","Chestnut Hill West","3831","3831","005801","1","1"
"WAR","M3","WAR_469_V37_M","Center City Philadelphia","469","469","417005","1","1"
"CYN","M1","CYN_1060_V5_M","Suburban Station","1060","1060","001005","0","1"
"WAR","M1","WAR_445_V50_M","Center City Philadelphia","445","445","417005","1","1"
"AIR","M3","AIR_442_V37_M","Center City Philadelphia","442","442","401005","0","1"
"CHE","M2","CHE_703_V26_M","Center City Philadelphia","703","703","720005","1","1"
"NOR","M1","NOR_6256_V50_M","Norristown - Elm Street","6256","6256","004228","0","1"
"CHE","M3","CHE_738_V37_M","Chestnut Hill East","738","738","005720","0","1"
"CHW","M1","CHW_9870_V55_M","Temple University","9870","9870","801007","0","1"
"WAR","M1","WAR_420_V50_M","Warminster","420","420","005417","0","1"
"FOX","M2","FOX_3872_V25_M","Fox Chase","3872","3872","005815","0","1"
"AIR","M2","AIR_461_V25_M","Airport Terminal E F","461","461","005401","1","1"
"AIR","M1","AIR_432_V50_M","Center City Philadelphia","432","432","401005","0","1"
"WAR","M1","WAR_3482_V55_M","Warminster","3482","3482","005417","0","1"
"NOR","M3","NOR_208_V37_M","Norristown - Elm Street","208","208","005228","0","1"
"PAO","M1","PAO_5348_V51_M","Center City Philadelphia","5348","5348","505005","0","1"
"PAO","M2","PAO_554_V26_M","Center City Philadelphia","554","554","501005","0","1"
"TRE","M1","TRE_725_V51_M","Trenton","725","725","005701","1","1"
"AIR","M1","AIR_449_V50_M","Airport Terminal E F","449","449","005401","1","1"
"CHW","M1","CHW_9855_V55_M","Chestnut Hill West","9855","9855","007801","1","1"
"PAO","M2","PAO_538_V26_M","Center City Philadelphia","538","538","501005","0","1"
"FOX","M1","FOX_8471_V55_M","Center City Philadelphia","8471","8471","815005","1","1"
"AIR","M2","AIR_401_V86_M","Airport Terminal E F","401","401","005401","1","1"
"LAN","M2","LAN_515_V25_M","Center City Philadelphia","515","515","538005","1","1"
"WIL","M1","WIL_9241_V55_M","Wilmington","9241","9241","007203","1","1"
"PAO","M3","PAO_563_V37_M","Malvern","563","563","005505","1","1"
"CHE","M1","CHE_708_V51_M","Chestnut Hill East","708","708","005720","0","1"
"LAN","M2","LAN_530_V26_M","Doylestown","530","530","005538","0","1"
"WAR","M1","WAR_477_V50_M","Center City Philadelphia","477","477","417005","1","1"
"AIR","M3","AIR_440_V58_M","Center City Philadelphia","440","440","401005","0","1"
"MED","M1","MED_3228_V53_M","Center City Philadelphia","3228","3228","300005","0","1"
"FOX","M2","FOX_8383_V25_M","Center City Philadelphia","8383","8383","815005","1","1"
"CHE","M2","CHE_4702_V86_M","Chestnut Hill East","4702","4702","005720","0","1"
"AIR","M3","AIR_425_V58_M","Airport Terminal E F","425","425","005401","1","1"
"CHW","M3","CHW_8320_V58_M","Center City Philadelphia","8320","8320","801005","0","1"
"PAO","M2","PAO_9540_V26_M","Temple University","9540","9540","505007","0","1"
"NOR","M1","NOR_3200_V85_M","Norristown - Elm Street","3200","3200","005228","0","1"
"CHE","M2","CHE_719_V26_M","Center City Philadelphia","719","719","720005","1","1"
"AIR","M2","AIR_437_V25_M","Airport Terminal E F","437","437","005401","1","1"
"PAO","M1","PAO_9548_V50_M","Temple University","9548","9548","505007","0","1"
"WAR","M2","WAR_407_V25_M","Center City Philadelphia","407","407","417005","1","1"
"WTR","M2","WTR_8336_V1_M","West Trenton","8336","8336","005327","0","1"
"WAR","M3","WAR_413_V37_M","Center City Philadelphia","413","413","417005","1","1"
"CHE","M2","CHE_734_V26_M","Chestnut Hill East","734","734","005720","0","1"
"CHE","M2","CHE_738_V26_M","Chestnut Hill East","738","738","005720","0","1"
"FOX","M1","FOX_4822_V55_M","Fox Chase","4822","4822","005815","0","1"
"CHE","M1","CHE_715_V51_M","Center City Philadelphia","715","715","720005","1","1"
"CHW","M3","CHW_3839_V58_M","Chestnut Hill West","3839","3839","005801","1","1"
"TRE","M1","TRE_9746_V21_M","Temple University","9746","9746","701007","0","1"
"CHE","M3","CHE_703_V37_M","Center City Philadelphia","703","703","720005","1","1"
"WIL","M2","WIL_219_V27_M","Wilmington","219","219","005203","1","1"
"NOR","M3","NOR_6203_V37_M","Gray 30th Street","6203","6203","228004","1","1"
"WTR","M1","WTR_3561_V52_M","Center City Philadelphia","3561","3561","327005","1","1"
"CYN","M1","CYN_1059_V5_M","Cynwyd","1059","1059","005001","1","1"
"CHW","M1","CHW_9858_V55_M","Temple University","9858","9858","801007","0","1"
"AIR","M1","AIR_452_V50_M","Center City Philadelphia","452","452","401005","0","1"
"PAO","M3","PAO_554_V37_M","Center City Philadelphia","554","554","505005","0","1"
"FOX","M3","FOX_3864_V37_M","Fox Chase","3864","3864","005815","0","1"
"NOR","M2","NOR_208_V26_M","Norristown - Elm Street","208","208","005228","0","1"
"WAR","M2","WAR_410_V25_M","Warminster","410","410","005417","0","1"
"WAR","M3","WAR_404_V58_M","Glenside","404","404","005411","0","1"
"MED","M1","MED_9313_V52_M","Wawa","9313","9313","007300","1","1"
"WIL","M1","WIL_2502_V50_M","Center City Philadelphia","2502","2502","205005","0","1"
"WAR","M1","WAR_5438_V55_M","Glenside","5438","5438","005411","0","1"
"PAO","M3","PAO_578_V37_M","Center City Philadelphia","578","578","505005","0","1"
"AIR","M1","AIR_4822_V55_M","Center City Philadelphia","4822","4822","401005","0","1"
"WAR","M1","WAR_457_V50_M","Center City Philadelphia","457","457","411005","1","1"
"NOR","M1","NOR_5250_V55_M","Norristown T.C.","5250","5250","005226","0","1"
"TRE","M1","TRE_703_V51_M","Trenton","703","703","005701","1","1"
"PAO","M2","PAO_546_V26_M","Center City Philadelphia","546","546","505005","0","1"
"NOR","M1","NOR_2307_V50_M","Center City Philadelphia","2307","2307","228005","1","1"
"AIR","M2","AIR_426_V25_M","Center City Philadelphia","426","426","401005","0","1"
"LAN","M3","LAN_570_V37_M","Doylestown","570","570","005538","0","1"
"TRE","M3","TRE_715_V37_M","Trenton","715","715","005701","1","1"
"WAR","M2","WAR_456_V63_M","Glenside","456","456","005411","0","1"
"CHW","M3","CHW_3863_V58_M","Chestnut Hill West","3863","3863","005801","1","1"
"NOR","M1","NOR_8210_V51_M","Miquon","8210","8210","005223","0","1"
"AIR","M2","AIR_445_V25_M","Airport Terminal E F","445","445","005401","1","1"
"AIR","M1","AIR_472_V50_M","Center City Philadelphia","472","472","401005","0","1"
"MED","M3","MED_3868_V37_M","Center City Philadelphia","3868","3868","300005","0","1"
"WAR","M3","WAR_475_V37_M","Center City Philadelphia","475","475","417005","1","1"
"LAN","M1","LAN_6533_V55_M","Gray 30th Street","6533","6533","538004","1","1"
"PAO","M3","PAO_574_V37_M","Center City Philadelphia","574","574","505005","0","1"
"MED","M1","MED_8337_V55_M","Wawa","8337","8337","005300","1","1"
"MED","M1","MED_2329_V50_M","Wawa","2329","2329","005300","1","1"
"AIR","M1","AIR_8471_V55_M","Airport Terminal E F","8471","8471","005401","1","1"
"MED","M3","MED_9301_V87_M","Wawa","9301","9301","007300","1","1"
"CHE","M1","CHE_729_V51_M","Center City Philadelphia","729","729","720005","1","1"
"LAN","M1","LAN_6543_V51_M","Gray 30th Street","6543","6543","531004","1","1"
