"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","wheelchair_accessible"
"CYN","SID184626","CYN1052_20250902","Suburban Station","0","1052","001005","1"
"CYN","SID184626","CYN1055_20250902","Cynwyd","1","1055","005001","1"
"CYN","SID184626","CYN1056_20250902","Suburban Station","0","1056","001005","1"
"CYN","SID184626","CYN1059_20250902","Cynwyd","1","1059","005001","1"
"CYN","SID184626","CYN1060_20250902","Suburban Station","0","1060","001005","1"
"CYN","SID184626","CYN1071_20250902","Cynwyd","1","1071","005001","1"
"CYN","SID184626","CYN1072_20250902","Suburban Station","0","1072","001005","1"
"CYN","SID184626","CYN1081_20250902","Cynwyd","1","1081","005001","1"
"CYN","SID184626","CYN1082_20250902","Suburban Station","0","1082","001005","1"
"CYN","SID184626","CYN1083_20250902","Cynwyd","1","1083","005001","1"
"CYN","SID184626","CYN1084_20250902","Suburban Station","0","1084","001005","1"
"CYN","SID184626","CYN1085_20250902","Cynwyd","1","1085","005001","1"
"WIL","SID184626","WIL1226_20250902","Suburban Station","0","1226","201007","1"
"TRE","SID184626","TRE1701_20250902","Trenton","1","1701","007701","1"
"TRE","SID184625","TRE1706_20250831","Jefferson Station","0","1706","701007","1"
"TRE","SID184625","TRE1707_20250831","Trenton","1","1707","007701","1"
"TRE","SID184625","TRE1708_20250831","Jefferson Station","0","1708","701007","1"
"TRE","SID184625","TRE1709_20250831","Trenton","1","1709","007701","1"
"TRE","SID184625","TRE1710_20250831","Jefferson Station","0","1710","701007","1"
"TRE","SID184625","TRE1711_20250831","Trenton","1","1711","007701","1"
"TRE","SID184625","TRE1712_20250831","Jefferson Station","0","1712","701007","1"
"TRE","SID184625","TRE1713_20250831","Trenton","1","1713","007701","1"
"TRE","SID184625","TRE1714_20250831","Jefferson Station","0","1714","701007","1"
"TRE","SID184625","TRE1715_20250831","Trenton","1","1715","007701","1"
"TRE","SID184625","TRE1716_20250831","Jefferson Station","0","1716","701007","1"
"TRE","SID184625","TRE1717_20250831","Trenton","1","1717","007701","1"
"TRE","SID184625","TRE1718_20250831","Jefferson Station","0","1718","701007","1"
"TRE","SID184625","TRE1719_20250831","Trenton","1","1719","007701","1"
"TRE","SID184625","TRE1720_20250831","Jefferson Station","0","1720","701007","1"
"TRE","SID184625","TRE1721_20250831","Trenton","1","1721","007701","1"
"TRE","SID184625","TRE1722_20250831","Jefferson Station","0","1722","701007","1"
"TRE","SID184625","TRE1723_20250831","Trenton","1","1723","007701","1"
"TRE","SID184625","TRE1724_20250831","Jefferson Station","0","1724","701007","1"
"TRE","SID184625","TRE1725_20250831","Trenton","1","1725","007701","1"
"TRE","SID184625","TRE1726_20250831","Jefferson Station","0","1726","701007","1"
"TRE","SID184625","TRE1727_20250831","Trenton","1","1727","007701","1"
"TRE","SID184625","TRE1728_20250831","Jefferson Station","0","1728","701007","1"
"TRE","SID184625","TRE1729_20250831","Trenton","1","1729","007701","1"
"TRE","SID184625","TRE1730_20250831","Jefferson Station","0","1730","701007","1"
"TRE","SID184625","TRE1731_20250831","Trenton","1","1731","007701","1"
"TRE","SID184625","TRE1732_20250831","Jefferson Station","0","1732","701007","1"
"TRE","SID184625","TRE1733_20250831","Trenton","1","1733","007701","1"
