"stop_id","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","wheelchair_boarding"
"90004","Gray 30th St Station","","39.956670","-75.181660","CC","","1"
"90314","49th St","","39.943610","-75.216670","1S","","1"
"90539","9th St Lansdale","","40.250000","-75.279170","4N","","1"
"90404","Airport Terminal A","","39.876110","-75.245280","4S","","1"
"90313","Angora","","39.944720","-75.238610","1S","","2"
"90403","Airport Terminal B","","39.877220","-75.241390","4S","","1"
"90402","Airport Terminal C & D","","39.878060","-75.240000","4S","","1"
"90401","Airport Terminal E & F","","39.879440","-75.239720","4S","","1"
"90218","Allegheny","","40.003610","-75.164720","1N","","2"
"90804","Richard Allen Lane","","40.057500","-75.194730","2S","","1"
"90526","Ambler","","40.153610","-75.224720","3N","","1"
"90412","Ardsley","","40.114170","-75.153050","3N","","1"
"90518","Ardmore","","40.008280","-75.290400","2S","","2"
"90002","Bala","","40.001110","-75.227780","2S","","1"
"90508","Berwyn","","40.048050","-75.442220","3S","","1"
"90516","Bryn Mawr","","40.021950","-75.316390","3S","","2"
"90710","Bridesburg","","40.010560","-75.069730","2S","","2"
"90703","Bristol","","40.104720","-74.854720","4S","","2"
"90318","Bethayres","","40.116660","-75.068340","3N","","1"
"90805","Carpenter","","40.051110","-75.191390","2S","","2"
"90720","Chestnut Hill East","","40.081110","-75.207220","2N","","2"
"90309","Clifton-Aldan","","39.926670","-75.290280","2S","","2"
"90535","Chalfont","","40.287780","-75.209720","4N","","1"
"90202","Churchman's Crossing","","39.695000","-75.672500","4S","","1"
"90808","Chelten Avenue","","40.030000","-75.180830","1S","","2"
"90813","Cheltenham","","40.058060","-75.092780","2N","","1"
"90207","Chester T.C.","","39.849720","-75.360000","3S","","1"
"90204","Claymont","","39.797780","-75.452220","4S","","1"
"90533","Colmar","","40.268330","-75.254450","4N","","1"
"90225","Conshohocken","","40.072220","-75.308610","3N","","2"
"90706","Cornwells Heights","","40.070900","-74.954320","3S","","1"
"90209","Crum Lynne","","39.871940","-75.331110","3S","","2"
"90704","Croydon","","40.093610","-74.906670","3S","","1"
"90414","Crestmont","","40.133340","-75.118610","3N","","1"
"90216","Curtis Park","","39.908050","-75.265000","2S","","2"
"90801","Chestnut Hill West","","40.076390","-75.208340","2S","","1"
"90001","Cynwyd","","40.006670","-75.231670","2S","","1"
"90507","Daylesford","","40.043060","-75.460560","3S","","2"
"90217","Darby","","39.913060","-75.254450","2S","","2"
"90509","Devon","","40.047220","-75.422780","3S","","2"
"90537","Delaware Valley University","","40.297220","-75.161670","4N","","1"
"90502","Downingtown","","40.002190","-75.710780","4S","","2"
"90538","Doylestown","","40.306390","-75.130280","4N","","1"
"90705","Eddington","","40.083060","-74.933610","3S","","2"
"90208","Eddystone","","39.857220","-75.342220","3S","","2"
"90219","East Falls","","40.011390","-75.191950","1N","","2"
"90301","Elwyn","","39.907500","-75.411670","3S","","1"
"90409","Elkins Park","","40.071390","-75.127780","2N","","2"
"90006","Jefferson Station","","39.952500","-75.158060","CC","","1"
"90405","Eastwick","","39.892780","-75.243890","1S","","1"
"90504","Exton","","40.019290","-75.621710","4S","","1"
"90815","Fox Chase","","40.076390","-75.083340","2N","","1"
"90312","Fernwood-Yeadon","","39.939720","-75.255840","2S","","2"
"90214","Folcroft","","39.900550","-75.279720","2S","","2"
"90320","Forest Hills","","40.127780","-75.020550","3N","","1"
"90407","Fern Rock Transit Center","","40.040550","-75.134720","1N","","1"
"90532","Fortuna","","40.259450","-75.266110","4N","","1"
"90525","Fort Washington","","40.135830","-75.212220","3N","","1"
"90713","Germantown","","40.037500","-75.171670","1N","","2"
"90310","Gladstone","","39.932780","-75.282220","2S","","2"
"90213","Glenolden","","39.896390","-75.290000","2S","","2"
"90719","Gravers","","40.077500","-75.201670","2N","","2"
"90411","Glenside","","40.101390","-75.153610","3N","","2"
"90528","Gwynedd Valley","","40.184720","-75.256940","3N","","2"
"90416","Hatboro","","40.176110","-75.102500","3N","","2"
"90517","Haverford","","40.013890","-75.299720","2S","","2"
"90206","Highland Avenue","","39.833610","-75.393330","3S","","2"
"90802","Highland","","40.070560","-75.211110","2S","","2"
"90708","Holmesburg Junction","","40.032780","-75.023610","2S","","2"
"90222","Ivy Ridge","","40.034170","-75.235560","2N","","2"
"90410","Jenkintown-Wyncote","","40.092780","-75.137500","3N","","2"
"90531","Lansdale","","40.242780","-75.285000","4N","","1"
"90324","Langhorne","","40.160830","-74.912500","4N","","2"
"90812","Lawndale","","40.051390","-75.103060","2N","","1"
"90534","Link Belt","","40.273890","-75.246670","4N","","1"
"90311","Lansdowne","","39.937500","-75.270840","2S","","2"
"90702","Levittown","","40.140280","-74.816950","4S","","1"
"90505","Malvern","","40.036390","-75.515560","4S","","2"
"90221","Manayunk","","40.026940","-75.225000","2N","","2"
"90317","Meadowbrook","","40.111390","-75.092500","3N","","2"
"90302","Media","","39.914440","-75.395000","3S","","1"
"90521","Merion","","39.998610","-75.251390","2S","","2"
"90205","Marcus Hook","","39.821670","-75.419440","3S","","2"
"90223","Miquon","","40.058610","-75.266390","2N","","2"
"90408","Melrose Park","","40.059440","-75.129170","2N","","1"
"90227","Main Street","","40.117220","-75.348610","3N","","2"
"90306","Morton-Rutledge","","39.907780","-75.328890","2S","","1"
"90303","Moylan-Rose Valley","","39.906110","-75.388610","3S","","2"
"90717","Mount Airy","","40.065280","-75.190830","2N","","2"
"90008","North Broad","","39.992220","-75.153890","1N","","1"
"90201","Newark DE","","39.669690","-75.753510","4S","","1"
"90315","Noble","","40.104440","-75.124170","3N","","2"
"90523","North Hills","","40.111950","-75.169440","3N","","2"
"90212","Norwood","","39.891670","-75.301670","2S","","2"
