route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
CYN,SID185189,CYN1052_20260201_SID185189,Suburban Station,0,1052,001005
CYN,SID185189,CYN1055_20260201_SID185189,Cynwyd,1,1055,005001
CYN,SID185189,CYN1056_20260201_SID185189,Suburban Station,0,1056,001005
CYN,SID185189,CYN1059_20260201_SID185189,Cynwyd,1,1059,005001
CYN,SID185189,CYN1060_20260201_SID185189,Suburban Station,0,1060,001005
CYN,SID185189,CYN1071_20260201_SID185189,Cynwyd,1,1071,005001
CYN,SID185189,CYN1072_20260201_SID185189,Suburban Station,0,1072,001005
CYN,SID185189,CYN1081_20260201_SID185189,Cynwyd,1,1081,005001
CYN,SID185189,CYN1082_20260201_SID185189,Suburban Station,0,1082,001005
CYN,SID185189,CYN1083_20260201_SID185189,Cynwyd,1,1083,005001
CYN,SID185189,CYN1084_20260201_SID185189,Suburban Station,0,1084,001005
CYN,SID185189,CYN1085_20260201_SID185189,Cynwyd,1,1085,005001
WIL,SID185189,WIL1226_20260201_SID185189,Suburban Station,0,1226,201007
WIL,SID185189,WIL1228_20260201_SID185189,Suburban Station,0,1228,201007
MED,SID185189,MED1380_20260201_SID185189,Suburban Station,0,1380,300007
TRE,SID185189,TRE1705_20260201_SID185189,Trenton,1,1705,007701
TRE,SID185186,TRE1706_20260201_SID185186,Jefferson Station,0,1706,701007
TRE,SID185186,TRE1707_20260201_SID185186,Trenton,1,1707,007701
TRE,SID185186,TRE1708_20260201_SID185186,Jefferson Station,0,1708,701007
TRE,SID185186,TRE1709_20260201_SID185186,Trenton,1,1709,007701
TRE,SID185186,TRE1710_20260201_SID185186,Jefferson Station,0,1710,701007
TRE,SID185186,TRE1711_20260201_SID185186,Trenton,1,1711,007701
TRE,SID185186,TRE1712_20260201_SID185186,Jefferson Station,0,1712,701007
TRE,SID185186,TRE1713_20260201_SID185186,Trenton,1,1713,007701
TRE,SID185186,TRE1714_20260201_SID185186,Jefferson Station,0,1714,701007
TRE,SID185186,TRE1715_20260201_SID185186,Trenton,1,1715,007701
TRE,SID185186,TRE1716_20260201_SID185186,Jefferson Station,0,1716,701007
TRE,SID185186,TRE1717_20260201_SID185186,Trenton,1,1717,007701
TRE,SID185186,TRE1718_20260201_SID185186,Jefferson Station,0,1718,701007
TRE,SID185186,TRE1719_20260201_SID185186,Trenton,1,1719,007701
TRE,SID185186,TRE1720_20260201_SID185186,Jefferson Station,0,1720,701007
TRE,SID185186,TRE1721_20260201_SID185186,Trenton,1,1721,007701
TRE,SID185186,TRE1722_20260201_SID185186,Jefferson Station,0,1722,701007
TRE,SID185186,TRE1723_20260201_SID185186,Trenton,1,1723,007701
TRE,SID185186,TRE1724_20260201_SID185186,Jefferson Station,0,1724,701007
TRE,SID185186,TRE1725_20260201_SID185186,Trenton,1,1725,007701
TRE,SID185186,TRE1726_20260201_SID185186,Jefferson Station,0,1726,701007
TRE,SID185186,TRE1727_20260201_SID185186,Trenton,1,1727,007701
TRE,SID185186,TRE1728_20260201_SID185186,Jefferson Station,0,1728,701007
TRE,SID185186,TRE1729_20260201_SID185186,Trenton,1,1729,007701
TRE,SID185186,TRE1730_20260201_SID185186,Jefferson Station,0,1730,701007
TRE,SID185186,TRE1731_20260201_SID185186,Trenton,1,1731,007701
TRE,SID185186,TRE1732_20260201_SID185186,Jefferson Station,0,1732,701007
TRE,SID185186,TRE1733_20260201_SID185186,Trenton,1,1733,007701
TRE,SID185186,TRE1734_20260201_SID185186,Jefferson Station,0,1734,701007
TRE,SID185186,TRE1735_20260201_SID185186,Trenton,1,1735,007701
NOR,SID185189,NOR203_20260201_SID185189,Center City Philadelphia,1,203,228004
WIL,SID185189,WIL203_20260201_SID185189,Marcus Hook,1,203,007201
WIL,SID185189,WIL206_20260201_SID185189,Center City Philadelphia,0,206,201007
NOR,SID185189,NOR206_20260201_SID185189,Norristown Elm Street,0,206,004228
NOR,SID185189,NOR207_20260201_SID185189,Center City Philadelphia,1,207,228004
WIL,SID185189,WIL207_20260201_SID185189,Wilmington,1,207,007201
WIL,SID185189,WIL220_20260201_SID185189,Center City Philadelphia,0,220,201007
NOR,SID185189,NOR220_20260201_SID185189,Norristown Elm Street,0,220,004228
NOR,SID185189,NOR2303_20260201_SID185189,Center City Philadelphia,1,2303,228004
MED,SID185189,MED2303_20260201_SID185189,Wawa,1,2303,007300
NOR,SID185189,NOR2305_20260201_SID185189,Center City Philadelphia,1,2305,228004
MED,SID185189,MED2305_20260201_SID185189,Wawa,1,2305,007300
NOR,SID185189,NOR2309_20260201_SID185189,Center City Philadelphia,1,2309,228004
MED,SID185189,MED2309_20260201_SID185189,Wawa,1,2309,007300
NOR,SID185189,NOR2311_20260201_SID185189,Center City Philadelphia,1,2311,228004
MED,SID185189,MED2311_20260201_SID185189,Wawa,1,2311,007300
NOR,SID185189,NOR2313_20260201_SID185189,Center City Philadelphia,1,2313,228004
MED,SID185189,MED2313_20260201_SID185189,Wawa,1,2313,007300
NOR,SID185189,NOR2315_20260201_SID185189,Center City Philadelphia,1,2315,228004
MED,SID185189,MED2315_20260201_SID185189,Wawa,1,2315,007300
NOR,SID185189,NOR2319_20260201_SID185189,Center City Philadelphia,1,2319,228004
MED,SID185189,MED2319_20260201_SID185189,Wawa,1,2319,007300
NOR,SID185189,NOR2321_20260201_SID185189,Center City Philadelphia,1,2321,228004
