route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
AIR,SEPTA,AIR,Airport Line,2,https://www.septa.org/schedules/AIR,4F758B,FFFFFF
WAR,SEPTA,WAR,Warminster Line,2,https://www.septa.org/schedules/WAR,4F758B,FFFFFF
WIL,SEPTA,WIL,Wilmington/Newark Line,2,https://www.septa.org/schedules/WIL,4F758B,FFFFFF
MED,SEPTA,MED,Media/Wawa Line,2,https://www.septa.org/schedules/MED,4F758B,FFFFFF
WTR,SEPTA,WTR,West Trenton Line,2,https://www.septa.org/schedules/WTR,4F758B,FFFFFF
LAN,SEPTA,LAN,Lansdale/Doylestown Line,2,https://www.septa.org/schedules/LAN,4F758B,FFFFFF
PAO,SEPTA,PAO,Paoli/Thorndale Line,2,https://www.septa.org/schedules/PAO,4F758B,FFFFFF
CYN,SEPTA,CYN,Cynwyd Line,2,https://www.septa.org/schedules/CYN,4F758B,FFFFFF
NOR,SEPTA,NOR,Manayunk/Norristown Line,2,https://www.septa.org/schedules/NOR,4F758B,FFFFFF
CHE,SEPTA,CHE,Chestnut Hill East Line,2,https://www.septa.org/schedules/CHE,4F758B,FFFFFF
TRE,SEPTA,TRE,Trenton Line,2,https://www.septa.org/schedules/TRE,4F758B,FFFFFF
CHW,SEPTA,CHW,Chestnut Hill West Line,2,https://www.septa.org/schedules/CHW,4F758B,FFFFFF
FOX,SEPTA,FOX,Fox Chase Line,2,https://www.septa.org/schedules/FOX,4F758B,FFFFFF
