route_id,direction_id,stop_id,route_stop_sort_order
AIR,0,90401,1
AIR,0,90402,2
AIR,0,90403,3
AIR,0,90404,4
AIR,0,90405,5
AIR,0,90406,6
AIR,0,90004,7
AIR,0,90005,8
AIR,0,90006,9
AIR,0,90007,10
AIR,1,90007,1
AIR,1,90006,2
AIR,1,90005,3
AIR,1,90004,4
AIR,1,90406,5
AIR,1,90405,6
AIR,1,90404,7
AIR,1,90403,8
AIR,1,90402,9
AIR,1,90401,10
CHE,0,90406,0
CHE,0,90004,1
CHE,0,90005,2
CHE,0,90006,3
CHE,0,90007,4
CHE,0,90009,5
CHE,0,90712,6
CHE,0,90713,7
CHE,0,90714,8
CHE,0,90715,9
CHE,0,90716,10
CHE,0,90717,11
CHE,0,90718,12
CHE,0,90719,13
CHE,0,90720,14
CHE,1,90720,1
CHE,1,90719,2
CHE,1,90718,3
CHE,1,90717,4
CHE,1,90716,5
CHE,1,90715,6
CHE,1,90714,7
CHE,1,90713,8
CHE,1,90712,9
CHE,1,90009,10
CHE,1,90007,11
CHE,1,90006,12
CHE,1,90005,13
CHE,1,90004,14
CHE,1,90406,15
CHW,0,90801,1
CHW,0,90802,2
CHW,0,90803,3
CHW,0,90804,4
CHW,0,90805,5
CHW,0,90806,6
CHW,0,90807,7
CHW,0,90808,8
CHW,0,90809,9
CHW,0,90810,10
CHW,0,90004,11
CHW,0,90005,12
CHW,0,90006,13
CHW,0,90007,14
CHW,1,90007,1
CHW,1,90006,2
CHW,1,90005,3
CHW,1,90004,4
CHW,1,90810,5
CHW,1,90809,6
CHW,1,90808,7
CHW,1,90807,8
CHW,1,90806,9
CHW,1,90805,10
CHW,1,90804,11
CHW,1,90803,12
CHW,1,90802,13
CHW,1,90801,14
CYN,0,90001,1
CYN,0,90002,2
CYN,0,90003,3
CYN,0,90004,4
CYN,0,90005,5
CYN,1,90005,1
CYN,1,90004,2
CYN,1,90003,3
CYN,1,90002,4
CYN,1,90001,5
FOX,0,90406,0
FOX,0,90004,1
FOX,0,90005,2
FOX,0,90006,3
FOX,0,90007,4
FOX,0,90009,5
FOX,0,90811,6
FOX,0,90812,7
FOX,0,90813,8
FOX,0,90814,9
FOX,0,90815,10
FOX,1,90815,1
FOX,1,90814,2
FOX,1,90813,3
FOX,1,90812,4
FOX,1,90811,5
FOX,1,90009,6
FOX,1,90007,7
FOX,1,90006,8
FOX,1,90005,9
FOX,1,90004,10
FOX,1,90406,11
LAN,0,90406,1
LAN,0,90004,2
LAN,0,90005,3
LAN,0,90006,4
LAN,0,90007,5
LAN,0,90008,6
LAN,0,90009,7
LAN,0,90407,8
LAN,0,90410,9
LAN,0,90411,10
LAN,0,90523,11
LAN,0,90524,12
LAN,0,90525,13
LAN,0,90526,14
LAN,0,90527,15
LAN,0,90528,16
LAN,0,90529,17
LAN,0,90530,18
LAN,0,90531,19
