service_id,date,exception_type
SID189411,20260726,2
SID189783,20260726,2
SID189792,20260726,2
SID189779,20260801,2
SID189414,20260802,2
SID189779,20260802,2
SID189836,20260803,2
SID189836,20260804,2
SID189836,20260805,2
SID189836,20260806,2
SID189836,20260807,2
SID189779,20260808,2
SID189756,20260808,2
SID189756,20260809,2
SID189412,20260809,2
SID189779,20260809,2
SID189836,20260810,2
SID189836,20260811,2
SID189836,20260812,2
SID189836,20260813,2
SID189836,20260814,2
SID189414,20260815,2
SID189896,20260815,2
SID189896,20260816,2
SID189815,20260817,2
SID189815,20260818,2
SID189815,20260819,2
SID189815,20260820,2
SID189815,20260821,2
SID189896,20260822,2
SID189896,20260823,2
SID189412,20260829,2
SID1897791,20260719,1
