timeframe_group_id,start_time,end_time,service_id
weekend,00:00:00,24:00:00,SID189778
weekend,00:00:00,24:00:00,SID189411
weekend,00:00:00,24:00:00,SID189321
weekday,00:00:00,24:00:00,SID189324
weekend,00:00:00,24:00:00,SID189327
weekend,00:00:00,24:00:00,SID189756
weekend,00:00:00,24:00:00,SID189779
weekend,00:00:00,24:00:00,SID189783
weekend,00:00:00,24:00:00,SID189792
weekday,00:00:00,24:00:00,SID189815
weekday,00:00:00,24:00:00,SID189836
weekend,00:00:00,24:00:00,SID189896
weekday,00:00:00,24:00:00,SID189410
weekend,00:00:00,24:00:00,SID189414
weekend,00:00:00,24:00:00,SID189412
weekday,00:00:00,24:00:00,SID189413
