from_stop_id,to_stop_id,transfer_type,from_trip_id,to_trip_id
90005,90005,4,NOR207_20260622_SID186626,WIL207_20260622_SID186626
90005,90005,4,NOR207_20260622_SID189815_SID189815,WIL207_20260622_SID189815_SID189815
90005,90005,4,NOR209_20260622_SID186626,WIL209_20260622_SID186626
90005,90005,4,NOR209_20260622_SID189815_SID189815,WIL209_20260622_SID189815_SID189815
90005,90005,4,NOR213_20260622_SID186626,WIL213_20260622_SID186626
90005,90005,4,NOR213_20260622_SID189815_SID189815,WIL213_20260622_SID189815_SID189815
90005,90005,4,NOR219_20260622_SID186626,WIL219_20260622_SID186626
90005,90005,4,NOR219_20260622_SID189324_SID189324,WIL219_20260622_SID189324_SID189324
90005,90005,4,NOR221_20260622_SID186626,WIL221_20260622_SID186626
90005,90005,4,NOR221_20260622_SID189815_SID189815,WIL221_20260622_SID189815_SID189815
90005,90005,4,WIL2388_20260622_SID186626,WTR2388_20260622_SID186626
90005,90005,4,WIL2388_20260622_SID189836_SID189836,WTR2388_20260622_SID189836_SID189836
90005,90005,4,NOR2409_20260621_SID186629,AIR2409_20260621_SID186629
90005,90005,4,NOR2409_20260621_SID189896_SID189896,AIR2409_20260621_SID189896_SID189896
90005,90005,4,NOR2409_20260815_SID189412_SID189412,AIR2409_20260815_SID189412_SID189412
90005,90005,4,NOR2413_20260621_SID186629,AIR2413_20260621_SID186629
90005,90005,4,NOR2413_20260621_SID189896_SID189896,AIR2413_20260621_SID189896_SID189896
90005,90005,4,NOR2413_20260815_SID189412_SID189412,AIR2413_20260815_SID189412_SID189412
90005,90005,4,NOR2417_20260621_SID186629,AIR2417_20260621_SID186629
90005,90005,4,NOR2417_20260621_SID189896_SID189896,AIR2417_20260621_SID189896_SID189896
90005,90005,4,NOR2417_20260815_SID189412_SID189412,AIR2417_20260815_SID189412_SID189412
90005,90005,4,NOR2421_20260621_SID186629,AIR2421_20260621_SID186629
90005,90005,4,NOR2421_20260621_SID189896_SID189896,AIR2421_20260621_SID189896_SID189896
90005,90005,4,NOR2421_20260815_SID189412_SID189412,AIR2421_20260815_SID189412_SID189412
90005,90005,4,NOR2425_20260621_SID186629,AIR2425_20260621_SID186629
90005,90005,4,NOR2425_20260621_SID189896_SID189896,AIR2425_20260621_SID189896_SID189896
90005,90005,4,NOR2425_20260815_SID189412_SID189412,AIR2425_20260815_SID189412_SID189412
90005,90005,4,NOR2429_20260621_SID186629,AIR2429_20260621_SID186629
90005,90005,4,NOR2429_20260621_SID189896_SID189896,AIR2429_20260621_SID189896_SID189896
90005,90005,4,NOR2429_20260815_SID189412_SID189412,AIR2429_20260815_SID189412_SID189412
90005,90005,4,NOR2433_20260621_SID186629,AIR2433_20260621_SID186629
90005,90005,4,NOR2433_20260621_SID189896_SID189896,AIR2433_20260621_SID189896_SID189896
90005,90005,4,NOR2433_20260815_SID189412_SID189412,AIR2433_20260815_SID189412_SID189412
90005,90005,4,NOR2437_20260621_SID186629,AIR2437_20260621_SID186629
90005,90005,4,NOR2437_20260621_SID189896_SID189896,AIR2437_20260621_SID189896_SID189896
90005,90005,4,NOR2437_20260815_SID189412_SID189412,AIR2437_20260815_SID189412_SID189412
90005,90005,4,NOR2441_20260621_SID186629,AIR2441_20260621_SID186629
90005,90005,4,NOR2441_20260621_SID189896_SID189896,AIR2441_20260621_SID189896_SID189896
90005,90005,4,NOR2441_20260815_SID189412_SID189412,AIR2441_20260815_SID189412_SID189412
90005,90005,4,NOR2445_20260621_SID186629,AIR2445_20260621_SID186629
90005,90005,4,NOR2445_20260621_SID189896_SID189896,AIR2445_20260621_SID189896_SID189896
90005,90005,4,NOR2445_20260815_SID189412_SID189412,AIR2445_20260815_SID189412_SID189412
90005,90005,4,NOR2449_20260621_SID186629,AIR2449_20260621_SID186629
90005,90005,4,NOR2449_20260621_SID189896_SID189896,AIR2449_20260621_SID189896_SID189896
90005,90005,4,NOR2449_20260815_SID189412_SID189412,AIR2449_20260815_SID189412_SID189412
90005,90005,4,NOR2453_20260621_SID186629,AIR2453_20260621_SID186629
90005,90005,4,NOR2453_20260621_SID189896_SID189896,AIR2453_20260621_SID189896_SID189896
90005,90005,4,NOR2453_20260815_SID189412_SID189412,AIR2453_20260815_SID189412_SID189412
90005,90005,4,NOR2457_20260621_SID186629,AIR2457_20260621_SID186629
90005,90005,4,NOR2457_20260621_SID189896_SID189896,AIR2457_20260621_SID189896_SID189896
90005,90005,4,NOR2457_20260815_SID189412_SID189412,AIR2457_20260815_SID189412_SID189412
90005,90005,4,NOR2461_20260621_SID186629,AIR2461_20260621_SID186629
90005,90005,4,NOR2461_20260621_SID189896_SID189896,AIR2461_20260621_SID189896_SID189896
90005,90005,4,NOR2461_20260815_SID189412_SID189412,AIR2461_20260815_SID189412_SID189412
90005,90005,4,NOR2465_20260621_SID186629,AIR2465_20260621_SID186629
90005,90005,4,NOR2465_20260621_SID189896_SID189896,AIR2465_20260621_SID189896_SID189896
90005,90005,4,NOR2465_20260815_SID189412_SID189412,AIR2465_20260815_SID189412_SID189412
90005,90005,4,NOR2469_20260621_SID186629,AIR2469_20260621_SID186629
90005,90005,4,NOR2469_20260621_SID189896_SID189896,AIR2469_20260621_SID189896_SID189896
90005,90005,4,NOR2469_20260815_SID189412_SID189412,AIR2469_20260815_SID189412_SID189412
90005,90005,4,NOR2473_20260621_SID186629,AIR2473_20260621_SID186629
90005,90005,4,NOR2473_20260621_SID189896_SID189896,AIR2473_20260621_SID189896_SID189896
90005,90005,4,NOR2473_20260815_SID189412_SID189412,AIR2473_20260815_SID189412_SID189412
90005,90005,4,NOR2477_20260621_SID186629,AIR2477_20260621_SID186629
90005,90005,4,NOR2477_20260621_SID189896_SID189896,AIR2477_20260621_SID189896_SID189896
90005,90005,4,NOR2477_20260815_SID189412_SID189412,AIR2477_20260815_SID189412_SID189412
90005,90005,4,NOR2483_20260622_SID186626,AIR2483_20260622_SID186626
90005,90005,4,NOR2483_20260622_SID189815_SID189815,AIR2483_20260622_SID189815_SID189815
90005,90005,4,NOR2579_20260622_SID186626,PAO2579_20260622_SID186626
90005,90005,4,NOR2579_20260622_SID189815_SID189815,PAO2579_20260622_SID189815_SID189815
90005,90005,4,NOR2581_20260622_SID186626,PAO2581_20260622_SID186626
90005,90005,4,NOR2581_20260622_SID189815_SID189815,PAO2581_20260622_SID189815_SID189815
90005,90005,4,NOR2583_20260622_SID186626,PAO2583_20260622_SID186626
90005,90005,4,NOR2583_20260622_SID189324_SID189324,PAO2583_20260622_SID189324_SID189324
90005,90005,4,WIL2586_20260622_SID186626,LAN2586_20260622_SID186626
90005,90005,4,WIL2586_20260622_SID189324_SID189324,LAN2586_20260622_SID189324_SID189324
90005,90005,4,NOR2591_20260622_SID186626,PAO2591_20260622_SID186626
90005,90005,4,NOR2591_20260622_SID189815_SID189815,PAO2591_20260622_SID189815_SID189815
90005,90005,4,NOR2597_20260622_SID186626,PAO2597_20260622_SID186626
90005,90005,4,NOR2597_20260622_SID189815_SID189815,PAO2597_20260622_SID189815_SID189815
90005,90005,4,WIL2708_20260621_SID186629,CHE2708_20260621_SID186629
90005,90005,4,WIL2708_20260621_SID189756_SID189756,CHE2708_20260621_SID189756_SID189756
90005,90005,4,WIL2712_20260621_SID186629,CHE2712_20260621_SID186629
