route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
CYN,SID186626,CYN1052_20260622_SID186626,Suburban Station,CYN1052,0,1052,001005,1,2
CYN,SID186626,CYN1055_20260622_SID186626,Cynwyd,CYN1055,1,1055,005001,1,2
CYN,SID186626,CYN1056_20260622_SID186626,Suburban Station,CYN1056,0,1056,001005,1,2
CYN,SID186626,CYN1059_20260622_SID186626,Cynwyd,CYN1059,1,1059,005001,1,2
CYN,SID186626,CYN1060_20260622_SID186626,Suburban Station,CYN1060,0,1060,001005,1,2
CYN,SID186626,CYN1071_20260622_SID186626,Cynwyd,CYN1071,1,1071,005001,1,0
CYN,SID186626,CYN1072_20260622_SID186626,Suburban Station,CYN1072,0,1072,001005,1,0
CYN,SID186626,CYN1081_20260622_SID186626,Cynwyd,CYN1081,1,1081,005001,1,0
CYN,SID186626,CYN1082_20260622_SID186626,Suburban Station,CYN1082,0,1082,001005,1,2
CYN,SID186626,CYN1083_20260622_SID186626,Cynwyd,CYN1083,1,1083,005001,1,2
CYN,SID186626,CYN1084_20260622_SID186626,Suburban Station,CYN1084,0,1084,001005,1,2
CYN,SID186626,CYN1085_20260622_SID186626,Cynwyd,CYN1085,1,1085,005001,1,2
TRE,SID186626,TRE1705_20260622_SID186626,Trenton,TRE1705,1,1705,007701,1,2
TRE,SID186629,TRE1706_20260621_SID186629,Jefferson Station,TRE1706,0,1706,701007,1,0
TRE,SID186629,TRE1707_20260621_SID186629,Trenton,TRE1707,1,1707,007701,1,0
TRE,SID186629,TRE1708_20260621_SID186629,Jefferson Station,TRE1708,0,1708,701007,1,0
TRE,SID186629,TRE1709_20260621_SID186629,Trenton,TRE1709,1,1709,007701,1,0
TRE,SID186629,TRE1710_20260621_SID186629,Jefferson Station,TRE1710,0,1710,701007,1,0
TRE,SID186629,TRE1711_20260621_SID186629,Trenton,TRE1711,1,1711,007701,1,0
TRE,SID186629,TRE1712_20260621_SID186629,Jefferson Station,TRE1712,0,1712,701007,1,0
TRE,SID186629,TRE1713_20260621_SID186629,Trenton,TRE1713,1,1713,007701,1,0
TRE,SID186629,TRE1714_20260621_SID186629,Jefferson Station,TRE1714,0,1714,701007,1,0
TRE,SID186629,TRE1715_20260621_SID186629,Trenton,TRE1715,1,1715,007701,1,0
TRE,SID186629,TRE1716_20260621_SID186629,Jefferson Station,TRE1716,0,1716,701007,1,0
TRE,SID186629,TRE1717_20260621_SID186629,Trenton,TRE1717,1,1717,007701,1,0
TRE,SID186629,TRE1718_20260621_SID186629,Jefferson Station,TRE1718,0,1718,701007,1,0
TRE,SID186629,TRE1719_20260621_SID186629,Trenton,TRE1719,1,1719,007701,1,0
TRE,SID186629,TRE1720_20260621_SID186629,Jefferson Station,TRE1720,0,1720,701007,1,0
TRE,SID186629,TRE1721_20260621_SID186629,Trenton,TRE1721,1,1721,007701,1,0
TRE,SID186629,TRE1722_20260621_SID186629,Jefferson Station,TRE1722,0,1722,701007,1,0
TRE,SID186629,TRE1723_20260621_SID186629,Trenton,TRE1723,1,1723,007701,1,0
TRE,SID186629,TRE1724_20260621_SID186629,Jefferson Station,TRE1724,0,1724,701007,1,0
TRE,SID186629,TRE1725_20260621_SID186629,Trenton,TRE1725,1,1725,007701,1,0
TRE,SID186629,TRE1726_20260621_SID186629,Jefferson Station,TRE1726,0,1726,701007,1,0
TRE,SID186629,TRE1727_20260621_SID186629,Trenton,TRE1727,1,1727,007701,1,0
TRE,SID186629,TRE1728_20260621_SID186629,Jefferson Station,TRE1728,0,1728,701007,1,0
TRE,SID186629,TRE1729_20260621_SID186629,Trenton,TRE1729,1,1729,007701,1,0
TRE,SID186629,TRE1730_20260621_SID186629,Jefferson Station,TRE1730,0,1730,701007,1,0
TRE,SID186629,TRE1731_20260621_SID186629,Trenton,TRE1731,1,1731,007701,1,0
TRE,SID186629,TRE1732_20260621_SID186629,Jefferson Station,TRE1732,0,1732,701007,1,0
TRE,SID186629,TRE1733_20260621_SID186629,Trenton,TRE1733,1,1733,007701,1,0
TRE,SID186629,TRE1734_20260621_SID186629,Jefferson Station,TRE1734,0,1734,701007,1,0
TRE,SID186629,TRE1735_20260621_SID186629,Trenton,TRE1735,1,1735,007701,1,0
NOR,SID186626,NOR207_20260622_SID186626,Center City Philadelphia,NOR207,1,207,228004,1,2
WIL,SID186626,WIL207_20260622_SID186626,Marcus Hook,WIL207,1,207,007201,1,2
NOR,SID186626,NOR209_20260622_SID186626,Center City Philadelphia,NOR209,1,209,228004,1,2
WIL,SID186626,WIL209_20260622_SID186626,Wilmington,WIL209,1,209,007201,1,2
NOR,SID186626,NOR213_20260622_SID186626,Center City Philadelphia,NOR213,1,213,228004,1,2
WIL,SID186626,WIL213_20260622_SID186626,Wilmington,WIL213,1,213,007201,1,2
NOR,SID186626,NOR219_20260622_SID186626,Center City Philadelphia,NOR219,1,219,228004,1,2
WIL,SID186626,WIL219_20260622_SID186626,Marcus Hook,WIL219,1,219,007201,1,0
NOR,SID186626,NOR221_20260622_SID186626,Center City Philadelphia,NOR221,1,221,228004,1,0
WIL,SID186626,WIL221_20260622_SID186626,Newark DE,WIL221,1,221,007201,1,0
NOR,SID186626,NOR2385_20260622_SID186626,Penn Medicine Station,NOR2385,1,2385,228004,1,0
NOR,SID186626,NOR2387_20260622_SID186626,Penn Medicine Station,NOR2387,1,2387,228004,1,2
WIL,SID186626,WIL2388_20260622_SID186626,Center City Philadelphia,WIL2388,0,2388,201007,1,2
WTR,SID186626,WTR2388_20260622_SID186626,West Trenton,WTR2388,0,2388,004327,1,2
NOR,SID186626,NOR2389_20260622_SID186626,Penn Medicine Station,NOR2389,1,2389,228004,1,0
NOR,SID186626,NOR2391_20260622_SID186626,Penn Medicine Station,NOR2391,1,2391,228004,1,0
NOR,SID186626,NOR2393_20260622_SID186626,Penn Medicine Station,NOR2393,1,2393,228004,1,0
NOR,SID186626,NOR2395_20260622_SID186626,Penn Medicine Station,NOR2395,1,2395,228004,1,2
NOR,SID186626,NOR2397_20260622_SID186626,Penn Medicine Station,NOR2397,1,2397,228004,1,0
NOR,SID186626,NOR2399_20260622_SID186626,Penn Medicine Station,NOR2399,1,2399,228004,1,0
NOR,SID186629,NOR2409_20260621_SID186629,Center City Philadelphia,NOR2409,1,2409,228004,1,0
AIR,SID186629,AIR2409_20260621_SID186629,Airport Terminals E & F,AIR2409,1,2409,007401,1,0
NOR,SID186629,NOR2413_20260621_SID186629,Center City Philadelphia,NOR2413,1,2413,228004,1,0
AIR,SID186629,AIR2413_20260621_SID186629,Airport Terminals E & F,AIR2413,1,2413,007401,1,0
NOR,SID186629,NOR2417_20260621_SID186629,Center City Philadelphia,NOR2417,1,2417,228004,1,0
AIR,SID186629,AIR2417_20260621_SID186629,Airport Terminals E & F,AIR2417,1,2417,007401,1,0
NOR,SID186629,NOR2421_20260621_SID186629,Center City Philadelphia,NOR2421,1,2421,228004,1,0
AIR,SID186629,AIR2421_20260621_SID186629,Airport Terminals E & F,AIR2421,1,2421,007401,1,0
NOR,SID186629,NOR2425_20260621_SID186629,Center City Philadelphia,NOR2425,1,2425,228004,1,0
AIR,SID186629,AIR2425_20260621_SID186629,Airport Terminals E & F,AIR2425,1,2425,007401,1,0
NOR,SID186629,NOR2429_20260621_SID186629,Center City Philadelphia,NOR2429,1,2429,228004,1,0
AIR,SID186629,AIR2429_20260621_SID186629,Airport Terminals E & F,AIR2429,1,2429,007401,1,0
NOR,SID186629,NOR2433_20260621_SID186629,Center City Philadelphia,NOR2433,1,2433,228004,1,0
AIR,SID186629,AIR2433_20260621_SID186629,Airport Terminals E & F,AIR2433,1,2433,007401,1,0
NOR,SID186629,NOR2437_20260621_SID186629,Center City Philadelphia,NOR2437,1,2437,228004,1,0
AIR,SID186629,AIR2437_20260621_SID186629,Airport Terminals E & F,AIR2437,1,2437,007401,1,0
NOR,SID186629,NOR2441_20260621_SID186629,Center City Philadelphia,NOR2441,1,2441,228004,1,0
