route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
15256,1,Parx Casino to 54th-City,3,,,
15257,10,13th-Market to 63rd-Malvern,0,66CC33,000000,
15191,101,Media to 69th St TC,0,66CC33,000000,
15193,102,Sharon Hill to 69th St TC,0,66CC33,000000,
15249,103,Ardmore to 69th St TC,3,,,
15195,104,West Chester U to 69th St TC,3,,,
15371,105,Paoli & Ardmore to 69th St TC,3,,,
15372,106,Paoli & Ardmore to 69th St TC,3,,,
15198,107,Lawrence Park to 69th St TC,3,,,
15199,108,UPS or Airport to 69th St TC,3,,,
15200,109,Chester TC to 69th St TC,3,,,
15258,11,13th-Market to Darby Trans Cntr,0,66CC33,000000,
15201,110,Penn State U to 69th St TC,3,,,
15202,111,Chadds Ford to 69th St TC,3,,,
15203,112,DCCC to 69th St TC,3,,,
15204,113,Tri State Mall to 69th St TC,3,,,
15205,114,Granite Run Mall to Darby TC,3,,,
15206,115,DCCC & Darby TC to Airport,3,,,
15207,117,Penn State U to I-95 Industrial Pk,3,,,
15208,118,Newtown Square to Chester TC,3,,,
15209,119,Cheyney U to Chester TC,3,,,
15259,12,Columbus-Dock to 50th-Woodland,3,,,
15210,120,Cheyney U to 69th St TC,3,,,
15211,123,King of Prussia to 69th St TC,3,,,
15218,124,Chesterbrook to 13th & Market   ,3,,,
15212,125,Valley Forge to 13th-Market,3,,,
15213,126,Lawrence Park to 69th St TC,3,,,
15219,127,Trenton TC to Oxford Valley Mall,3,,,
15220,128,Neshaminy to Oxford Valley Mall,3,,,
15221,129,Frankford-Knights to Oxford Valley,3,,,
15260,13,13th-Market to Yeadon-Darby,0,66CC33,000000,
15222,130,BCCC to Frankford & Knights,3,,,
15223,131,Audubon to Norristown TC,3,,,
15224,132,Telford to Montgomery Mall,3,,,
15225,133,Frankford & Knights to Bensalem,3,,,
15226,139,Limerick to King of Prussia,3,,,
15261,14,Oxford Vally/Neshaminy Malls to FTC,3,,,
15262,15,63rd-Girard to Richmond-Westmorelnd,0,66CC33,000000,
15227,150,Parx Casino to Plymouth Meeting,3,,,
15263,15B,Frankfrd-Girard to Rchmnd-Westmrlnd,3,66CC33,000000,
15264,16,City Hall to Cheltenham-Ogontz,3,,,
15265,17,Front-Mkt to 20-Johnston/Broad-Pat,3,,,
15266,18,Fox Chase to Cedarbrook Plaza,3,,,
15267,19,Torresdale Station to FTC,3,,,
15268,2,20-Johnston to Pulaski-Hntg Park   ,3,,,
15269,20,Philadelphia Mills to FTC,3,,,
15228,201,Ft Wash Office Ctr to Fort Wash Sta,3,,,
15185,204,Eagleview to Paoli Train Station,3,,,
15186,205,Chesterbrook to Paoli Train Station,3,,,
15229,206,Commons at Great Vly to Paoli Sta,3,,,
15271,21,Penns Landing to 69th St TC,3,,,
15273,22,Warminster & Willow Grove to OTC,3,,,
15274,23,11th Market to Chestnut Hill,3,,,
15276,24,Southampton & Rockledge to FTC ,3,,,
15277,25,FTC to Columbus Commons,3,,,
15278,26,FTC to Chelten Av Station,3,,,
15279,27,Broad-Carpenter to PlymouthMtgMall,3,,,
15280,28,Fern Rock TC to Torresdale-Cottman,3,,,
15281,29,Pier 70 to 33rd-Dickinson,3,,,
15282,3,33rd-Cecil B. Moore to FTC,3,,,
15283,30,Amtrak 30th St Sta to 69th St TC,3,,,
15284,31,City Hall to 76th-City,3,,,
15187,310,Horsham Breeze        ,3,,,
15285,32,Broad-Carpenter to Ridge-Lyceum,3,,,
15286,33,Penns Landing to 23rd-Venango,3,,,
15288,34,13th-Market to 61st-Baltimore   ,0,66CC33,000000,
15289,35,Manayunk Roxborough Loop,3,,,
15290,36,13th-Market to 80th-Eastwick    ,0,66CC33,000000,
15291,37,ChesterTC to Broad-Snyder,3,,,
15292,38,5th-Market to Wissahickon TC,3,,,
15293,39,Richmond-Cumberland to 33rd-Dauphin,3,,,
15294,4,Broad-Pattison to Fern Rock TC ,3,,,
15296,40,2nd-Lombard to Conshohocken-Monumnt,3,,,
15297,42,Penns Landing to Wycombe or61stPine,3,,,
15298,43,Richmond-Cumberland to 50th-Parksde,3,,,
15299,44,5th-Market to Ardmore,3,,,
15300,45,Broad & Oregon to Noble & 12th ,3,,,
15301,46,58th-Baltimore to 63rd-Malvern,3,,,
15302,47,Whitman Plaza to 5th-Godfrey,3,,,
15303,47M,Whitmn Plz to 7th-Spg Grd via 9thSt,3,,,
15304,48,Front-Market to 27th-Allegheny,3,,,
15305,5,Front-Market to Frankford TC,3,,,
15306,50,Parx Casino via Phila Mills to FTC,3,,,
15307,52,49th-Wdland to 54th-City/50th-PrkSd,3,,,
15308,53,Wayne-Carpenter to Broad-Hunting Pk,3,,,
15309,54,Richmond-Cambria to 33rd-Dauphin,3,,,
15310,55,Willow Grove & Doylestown to OTC,3,,,
15311,56,23rd-Venango to Torresdale-Cottman,3,,,
15312,57,WhitmanPlaza to RisingSun-Olney&FTC,3,,,
15313,58,Neshaminy Mall & Somerton to FTC,3,,,
15314,59,Castor-Bustleton to Arrott TC,3,,,
15315,6,Cheltenham-Ogontz to Olney TC   ,3,,,
15316,60,35th-Allegheny to Rich-Westmoreland,3,,,
15317,61,9th-Market to Manayunk,3,,,
15319,62,9th-Market to Andorra,3,,,
15320,64,50th-Parkside to Pier 70,3,,,
15321,65,Germantown-Chelten to 69th St TC,3,,,
15322,66,Frankfd TC to Frankford-Knights,3,,,
15323,67,Phila Mills & Bustleton to FTC,3,,,
15324,68,Broad-Oregon to UPS & 69th St TC ,3,,,
15325,7,Pier 70 to 33rd-Dauphin,3,,,
15326,70,Fkd-Gregg/Torr-Cottmn to FRTC,3,,,
15327,73,FTC to Richmond-Westmoreland,3,,,
15328,75,Wayne Junction to Arrott Trans Ctr,3,,,
15329,77,Roosevelt-St Vincent to ChestntHill,3,,,
15330,78,Express Cornwells Hgts to Ctr City,3,,,
15331,79,Columbus Commons to 29th-Snyder,3,,,
15332,8,Olney TC to Frankford TC,3,,,
15333,80,Express Horsham to Olney TC,3,,,
15334,84,Phila Mills/Bustleton-CntyLn to FTC,3,,,
15335,88,Bethayres&Holme-Pennypack to FTC,3,,,
15337,89,Front-Dauphin to Arrott TC,3,,,
15338,9,4th-Walnut to Andorra,3,,,
