service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,1,1,1,1,1,0,0,20210321,20210605
12,0,0,0,0,0,1,0,20210321,20210605
13,0,0,0,0,0,0,1,20210321,20210605
16,1,1,1,1,1,0,0,20210321,20210605
18,0,0,0,0,0,1,0,20210321,20210605
19,0,0,0,0,0,0,1,20210321,20210605
22,1,1,1,1,1,0,0,20210321,20210605
24,0,0,0,0,0,1,0,20210321,20210605
25,0,0,0,0,0,0,1,20210321,20210605
28,1,1,1,1,1,0,0,20210321,20210605
30,0,0,0,0,0,1,0,20210321,20210605
31,0,0,0,0,0,0,1,20210321,20210605
40,1,1,1,1,1,0,0,20210321,20210605
42,0,0,0,0,0,1,0,20210321,20210605
43,0,0,0,0,0,0,1,20210321,20210605
46,1,1,1,1,1,0,0,20210321,20210605
48,0,0,0,0,0,1,0,20210321,20210605
49,0,0,0,0,0,0,1,20210321,20210605
52,1,1,1,1,1,0,0,20210321,20210605
54,0,0,0,0,0,1,0,20210321,20210605
55,0,0,0,0,0,0,1,20210321,20210605
