route_id,direction_id,direction,direction_destination
1,0,Northbound,Parx Casino
1,1,Southbound,54th-City
2,0,Southbound,20th-Johnston
2,1,Northbound,Pulaski-Hunting Park
3,0,Westbound,33rd-Cecil B. Moore
3,1,Eastbound,Frankford Transit Center
4,0,Southbound,Broad-Pattison
4,1,Northbound,Fern Rock Transit Center
5,0,Southbound,Front-Market
5,1,Northbound,Frankford Transit Center
6,0,Southbound,Olney Transit Center
6,1,Northbound,Cheltenham-Ogontz
7,0,Southbound,Pier 70
7,1,Northbound,33rd-Dauphin
8,0,Westbound,Olney Transit Center
8,1,Eastbound,Frankford Transit Center
9,0,Southbound,4th-Walnut
9,1,Northbound,Andorra
12,0,Eastbound,Columbus-Dock
12,1,Westbound,50th-Woodland
14,0,Northbound,Neshaminy & Oxford Valley Malls
14,1,Southbound,Frankford Transit Center
16,0,Southbound,City Hall
16,1,Northbound,Cheltenham-Ogontz
17,0,Northbound,Front-Market
17,1,Southbound,20th-Johnston & Broad-Pattison
18,0,Eastbound,Fox Chase
18,1,Westbound,Cedarbrook Plaza
19,0,Northbound,Torresdale Station
19,1,Southbound,Frankford Transit Center
20,0,Northbound,Philadelphia Mills
20,1,Southbound,Frankford Transit Center
21,0,Eastbound,Columbus-Dock
21,1,Westbound,69th St Transit Center
22,0,Northbound,Willow Grove & Warminster
22,1,Southbound,Olney Transit Center
23,0,Southbound,Center City
23,1,Northbound,Chestnut Hill
24,0,Northbound,Southampton & Rockledge
24,1,Southbound,Frankford Transit Center
25,0,Northbound,Frankford Transit Center
25,1,Southbound,Columbus Commons
26,0,Eastbound,Frankford Transit Center
26,1,Westbound,Chelten Av Station
27,0,Southbound,Broad-Carpenter
27,1,Northbound,Plymouth Meeting Mall
28,0,Westbound,Fern Rock Transit Center
28,1,Eastbound,Torresdale-Cottman
29,0,Eastbound,Pier 70
29,1,Westbound,33rd-Dickinson
30,0,Eastbound,30th St Station
30,1,Westbound,69th St Transit Center
31,0,Eastbound,City Hall
31,1,Westbound,76th-City
32,0,Southbound,Broad-Carpenter
32,1,Northbound,Ridge-Lyceum
33,0,Southbound,5th-Market
33,1,Northbound,23rd-Venango
35,0,Loop,Manayunk Roxborough Loop
37,0,Westbound,Chester Transit Center
37,1,Eastbound,Broad-Snyder
38,0,Eastbound,5th-Market
38,1,Westbound,Wissahickon Transit Center
39,0,Eastbound,Richmond-Cumberland
