route_id,direction_id,stop_id,route_stop_sort_order
L1,0,416,1
L1,0,2446,2
L1,0,2447,3
L1,0,2448,4
L1,0,2449,5
L1,0,2450,6
L1,0,2451,7
L1,0,2452,8
L1,0,2453,9
L1,0,21532,10
L1,0,1392,11
L1,0,2455,12
L1,0,2456,13
L1,0,2457,14
L1,0,2458,15
L1,0,428,16
L1,0,2459,17
L1,0,353,18
L1,0,2460,19
L1,0,2461,20
L1,0,2462,21
L1,0,797,22
L1,0,60,23
L1,0,2463,24
L1,0,838,25
L1,0,2464,26
L1,0,217,27
L1,0,61,28
L1,1,32158,1
L1,1,32159,2
L1,1,32160,3
L1,1,32161,4
L1,1,32162,5
L1,1,32163,6
L1,1,32164,7
L1,1,32165,8
L1,1,32166,9
L1,1,32167,10
L1,1,32168,11
L1,1,32169,12
L1,1,32170,13
L1,1,32171,14
L1,1,32172,15
L1,1,32173,16
L1,1,32174,17
L1,1,32175,18
L1,1,32176,19
L1,1,32177,20
L1,1,32178,21
L1,1,32179,22
L1,1,32180,23
L1,1,32181,24
L1,1,32182,25
L1,1,32183,26
L1,1,32184,27
L1,1,20845,28
B1,0,20965,1
B1,0,33027,2
B1,0,1272,3
B1,0,1273,4
B1,0,1274,5
B1,0,140,6
B1,0,142,7
B1,0,2439,8
B1,0,1276,9
B1,0,1277,10
B1,0,20966,11
B1,0,1278,12
B1,0,1279,13
B1,0,1280,14
B1,0,1281,15
B1,0,1282,16
B1,0,1283,17
B1,0,1284,18
B1,0,1285,19
B1,0,1286,20
B1,0,20967,21
B1,0,152,22
B1,1,32134,1
B1,1,32135,2
B1,1,32136,3
B1,1,32137,4
B1,1,32138,5
B1,1,32139,6
B1,1,32140,7
B1,1,32141,8
B1,1,32142,9
B1,1,32143,10
B1,1,32146,11
B1,1,32147,12
B1,1,32148,13
B1,1,32149,14
B1,1,32150,15
B1,1,32151,16
B1,1,32152,17
B1,1,32153,18
B1,1,32154,19
B1,1,32155,20
B1,1,33028,21
B1,1,20965,22
B2,0,20965,1
B2,0,82,2
B2,0,140,3
B2,0,20966,4
B2,0,1279,5
B2,0,1280,6
B2,0,1281,7
B2,0,1282,8
B2,0,152,9
B2,1,32134,1
B2,1,32140,2
B2,1,32141,3
B2,1,32142,4
B2,1,32143,5
B2,1,32147,6
B2,1,32152,7
B2,1,32156,8
B2,1,20965,9
B3,0,20965,1
B3,0,82,2
B3,0,140,3
B3,0,2439,4
B3,0,20966,5
B3,0,1278,6
B3,0,2440,7
B3,0,21531,8
B3,1,32144,1
B3,1,32145,2
B3,1,32146,3
B3,1,32147,4
B3,1,32150,5
B3,1,32152,6
B3,1,32156,7
B3,1,20965,8
T1,0,31294,1
T1,0,20610,2
T1,0,20611,3
T1,0,20612,4
T1,0,20613,5
T1,0,20614,6
T1,0,20615,7
T1,0,15271,8
T1,0,20616,9
T1,0,20617,10
T1,0,20618,11
T1,0,20619,12
T1,0,20622,13
T1,0,20623,14
T1,0,20624,15
T1,0,20625,16
T1,0,20626,17
T1,0,20627,18
T1,0,277,19
T1,0,20628,20
T1,0,20630,21
T1,0,20631,22
T1,0,20632,23
T1,0,20633,24
T1,0,20634,25
T1,0,20635,26
T1,0,21422,27
T1,0,21423,28
T1,0,21424,29
T1,0,279,30
T1,0,20636,31
T1,0,20638,32
T1,0,32722,33
