route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_sort_order,network_id
L1,1,L1,Market-Frankford Line All Stops,1,https://www.septa.org/schedules/L1,0097D6,FFFFFF,1001,bus_metro
B1,1,B1,Broad Street Line Local,1,https://www.septa.org/schedules/B1,F26100,FFFFFF,1011,bus_metro
B2,1,B2,Broad Street Line Express,1,https://www.septa.org/schedules/B2,F26100,FFFFFF,1012,bus_metro
B3,1,B3,Broad-Ridge Spur,1,https://www.septa.org/schedules/B3,F26100,FFFFFF,1013,bus_metro
T1,1,T1,13th St to 63rd-Malvern/Overbrook,0,https://www.septa.org/schedules/T1,5A960A,FFFFFF,1021,bus_metro
T2,1,T2,13th St to 61st-Baltimore/Angora,0,https://www.septa.org/schedules/T2,5A960A,FFFFFF,1022,bus_metro
T3,1,T3,13th St to Yeadon or Darby TC,0,https://www.septa.org/schedules/T3,5A960A,FFFFFF,1023,bus_metro
T4,1,T4,13th St to Darby Transit Center,0,https://www.septa.org/schedules/T4,5A960A,FFFFFF,1024,bus_metro
T5,1,T5,13th St to 80th St/Eastwick,0,https://www.septa.org/schedules/T5,5A960A,FFFFFF,1025,bus_metro
G1,1,G1,63rd-Girard to Richmond-Westmorelnd,0,https://www.septa.org/schedules/G1,FFD700,000000,1031,bus_metro
D1,1,D1,Route 101,0,https://www.septa.org/schedules/D1,DC2E6B,FFFFFF,1041,bus_metro
D2,1,D2,Route 102,0,https://www.septa.org/schedules/D2,DC2E6B,FFFFFF,1042,bus_metro
M1,1,M1,Norristown High Speed Line Local,1,https://www.septa.org/schedules/M1,5F249F,FFFFFF,1051,bus_metro
1,1,1,Parx Casino to 54th-City,3,https://www.septa.org/schedules/1,FFFFFF,000000,2001,bus_metro
2,1,2,20-Johnston to Pulaski-Hunting Park,3,https://www.septa.org/schedules/2,FFFFFF,000000,2002,bus_metro
3,1,3,33rd-Cecil B. Moore to Frankford TC,3,https://www.septa.org/schedules/3,000000,FFFFFF,2003,bus_metro
4,1,4,Broad-Pattison to Fern Rock TC,3,https://www.septa.org/schedules/4,FFFFFF,000000,2004,bus_metro
5,1,5,2nd-Market to Frankford Transit Ctr,3,https://www.septa.org/schedules/5,FFFFFF,000000,2005,bus_metro
6,1,6,Cheltenham-Ogontz to Olney TC,3,https://www.septa.org/schedules/6,000000,FFFFFF,2006,bus_metro
7,1,7,Pier 70 to 33rd-Dauphin,3,https://www.septa.org/schedules/7,FFFFFF,000000,2007,bus_metro
8,1,8,Olney TC to Frankford TC,3,https://www.septa.org/schedules/8,FFFFFF,000000,2008,bus_metro
9,1,9,4th-Walnut to Andorra,3,https://www.septa.org/schedules/9,FFFFFF,000000,2009,bus_metro
12,1,12,Columbus-Dock to 50th-Woodland,3,https://www.septa.org/schedules/12,FFFFFF,000000,2010,bus_metro
14,1,14,FTC to Neshaminy/Oxford Valley,3,https://www.septa.org/schedules/14,FFFFFF,000000,2011,bus_metro
16,1,16,City Hall to Cheltenham-Ogontz,3,https://www.septa.org/schedules/16,FFFFFF,000000,2012,bus_metro
17,1,17,Front-Mkt to 20-Johnston/Broad-Pat,3,https://www.septa.org/schedules/17,000000,FFFFFF,2013,bus_metro
18,1,18,Fox Chase to Cedarbrook Plaza,3,https://www.septa.org/schedules/18,000000,FFFFFF,2014,bus_metro
19,1,19,Torresdale Station to Frankford TC,3,https://www.septa.org/schedules/19,FFFFFF,000000,2015,bus_metro
20,1,20,Philadelphia Mills to Frankford TC,3,https://www.septa.org/schedules/20,FFFFFF,000000,2016,bus_metro
21,1,21,Columbus-Dock to 69th St TC,3,https://www.septa.org/schedules/21,000000,FFFFFF,2017,bus_metro
22,1,22,Warminster/Willow Grove to Olney TC,3,https://www.septa.org/schedules/22,FFFFFF,000000,2018,bus_metro
23,1,23,11th Market to Chestnut Hill,3,https://www.septa.org/schedules/23,000000,FFFFFF,2019,bus_metro
24,1,24,Southamptn/Rockldge to Frankford TC,3,https://www.septa.org/schedules/24,FFFFFF,000000,2020,bus_metro
25,1,25,Frankford TC to Columbus Commons,3,https://www.septa.org/schedules/25,FFFFFF,000000,2021,bus_metro
26,1,26,Frankford TC to Chelten Av Station,3,https://www.septa.org/schedules/26,FFFFFF,000000,2022,bus_metro
27,1,27,Broad-Carpenter to Plymouth Meeting,3,https://www.septa.org/schedules/27,FFFFFF,000000,2023,bus_metro
28,1,28,Fern Rock TC to Torresdale-Cottman,3,https://www.septa.org/schedules/28,FFFFFF,000000,2024,bus_metro
29,1,29,Pier 70 to 33rd-Dickinson,3,https://www.septa.org/schedules/29,FFFFFF,000000,2025,bus_metro
30,1,30,Gray 30th St Station to 69th St TC,3,https://www.septa.org/schedules/30,FFFFFF,000000,2026,bus_metro
31,1,31,City Hall to 76th-City,3,https://www.septa.org/schedules/31,FFFFFF,000000,2027,bus_metro
32,1,32,Broad-Carpenter to Ridge-Lyceum,3,https://www.septa.org/schedules/32,FFFFFF,000000,2028,bus_metro
33,1,33,5th-Market to 23rd-Venango,3,https://www.septa.org/schedules/33,000000,FFFFFF,2029,bus_metro
35,1,35,Manayunk Roxborough Loop,3,https://www.septa.org/schedules/35,FFFFFF,000000,2030,bus_metro
37,1,37,Chester Transit Ctr to Broad-Snyder,3,https://www.septa.org/schedules/37,FFFFFF,000000,2031,bus_metro
38,1,38,5th-Market to Wissahickon TC,3,https://www.septa.org/schedules/38,FFFFFF,000000,2032,bus_metro
39,1,39,Richmond-Cumberland to 33rd-Dauphin,3,https://www.septa.org/schedules/39,FFFFFF,000000,2033,bus_metro
40,1,40,2nd-Lombard to Conshohocken-Monumnt,3,https://www.septa.org/schedules/40,FFFFFF,000000,2034,bus_metro
41,1,41,Chelten-Wissahckn to Richmnd-Orthdx,3,https://www.septa.org/schedules/41,FFFFFF,000000,2035,bus_metro
42,1,42,2nd-Spruce to 61st-Pine/Wycombe,3,https://www.septa.org/schedules/42,FFFFFF,000000,2036,bus_metro
43,1,43,Richmond-Cumberland to 50th-Parksde,3,https://www.septa.org/schedules/43,FFFFFF,000000,2037,bus_metro
44,1,44,Front-Market to Ardmore,3,https://www.septa.org/schedules/44,FFFFFF,000000,2038,bus_metro
45,1,45,Broad-Oregon to 12th-Vine,3,https://www.septa.org/schedules/45,000000,FFFFFF,2039,bus_metro
46,1,46,58th-Baltimore to 63rd-Malvern,3,https://www.septa.org/schedules/46,000000,FFFFFF,2040,bus_metro
47,1,47,Whitman Plaza to 5th-Godfrey,3,https://www.septa.org/schedules/47,000000,FFFFFF,2041,bus_metro
47M,1,47M,Whitmn Plz to 7th-Spg Grd via 9thSt,3,https://www.septa.org/schedules/47M,FFFFFF,000000,2042,bus_metro
48,1,48,Front-Market to 27th-Allegheny,3,https://www.septa.org/schedules/48,000000,FFFFFF,2043,bus_metro
49,1,49,33rd-Dauphin to 29th-Snyder,3,https://www.septa.org/schedules/49,FFFFFF,000000,2044,bus_metro
50,1,50,Parx to Frankford Transit Center,3,https://www.septa.org/schedules/50,FFFFFF,000000,2045,bus_metro
51,1,51,Plymth Mtg/Chestnt Hill to Olney TC,3,https://www.septa.org/schedules/51,000000,FFFFFF,2046,bus_metro
52,1,52,49th-Woodlnd to 54th-City/Parksd Lp,3,https://www.septa.org/schedules/52,000000,FFFFFF,2047,bus_metro
53,1,53,Wayne-Carpenter to Broad-Hunting Pk,3,https://www.septa.org/schedules/53,FFFFFF,000000,2048,bus_metro
54,1,54,Richmond-Cambria to 33rd-Dauphin,3,https://www.septa.org/schedules/54,FFFFFF,000000,2049,bus_metro
55,1,55,Doylestown/Willow Grove to Olney TC,3,https://www.septa.org/schedules/55,FFFFFF,000000,2050,bus_metro
56,1,56,23rd-Venango to Torresdale-Cottman,3,https://www.septa.org/schedules/56,000000,FFFFFF,2051,bus_metro
57,1,57,WhitmnPlz to RisngSun-Olney/FernRck,3,https://www.septa.org/schedules/57,FFFFFF,000000,2052,bus_metro
58,1,58,Neshaminy/Somerton to Frankford TC,3,https://www.septa.org/schedules/58,000000,FFFFFF,2053,bus_metro
59,1,59,Castor-Bustleton to Arrott TC,11,https://www.septa.org/schedules/59,FFFFFF,000000,2054,bus_metro
60,1,60,35th-Allegheny to Rich-Westmoreland,3,https://www.septa.org/schedules/60,000000,FFFFFF,2055,bus_metro
61,1,61,9th-Market to Manayunk,3,https://www.septa.org/schedules/61,FFFFFF,000000,2056,bus_metro
62,1,62,9th-Market to Andorra,3,https://www.septa.org/schedules/62,FFFFFF,000000,2057,bus_metro
63,1,63,Lanknau/Overbrk to ColCom/FdCtr,3,https://www.septa.org/schedules/63,000000,FFFFFF,2058,bus_metro
64,1,64,50th-Parkside to Pier 70,3,https://www.septa.org/schedules/64,FFFFFF,000000,2059,bus_metro
